sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Potassium cyanide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"reference";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"potassium cyanide";"";"151-50-8";"CKN";"salts";"1";"recommended";"<10";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Acetal Resins (Polyoxymethylene)";"";"potassium cyanide";"";"151-50-8";"CKN";"salts";"1";"recommended";">50";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Acetal Resins (Polyoxymethylene)";"";"potassium cyanide";"";"151-50-8";"CKN";"salts";"2";"questionable";">50";"150 – 175";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Acetal Resins (Polyoxymethylene)";"";"potassium cyanide";"";"151-50-8";"CKN";"salts";"3";"not recommended";">50";"175 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"potassium cyanide";"";"151-50-8";"CKN";"salts";"1";"recommended";"<10";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"potassium cyanide";"saturated";"151-50-8";"CKN";"salts";"1";"recommended";"100";"70 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Cellulose Acetate";"";"potassium cyanide";"";"151-50-8";"CKN";"salts";"3";"not recommended; discolored; softened; weight loss";"10";"60 – 70";"<1";"1";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Cellulose Acetate";"";"potassium cyanide";"";"151-50-8";"CKN";"salts";"3";"not recommended";"50";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Cellulose Acetate Butyrate";"";"potassium cyanide";"";"151-50-8";"CKN";"salts";"1";"recommended; weight gain, discolored";"10";"60 – 70";"<1";"1";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Cellulose Acetate Butyrate";"";"potassium cyanide";"";"151-50-8";"CKN";"salts";"1";"recommended; discolored, saturated";"50";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Chlorosulfonated Polyethylene";"";"potassium cyanide";"";"151-50-8";"CKN";"salts";"1";"recommended";"<10";"70 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
