sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Sodium cyanide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";""
"1";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"sodium cyanide";"cyanogran";"";"143-33-9";"CNNa";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"2";"Cellulose Acetate";"";"sodium cyanide";"cyanogran";"";"143-33-9";"CNNa";"salts";"3";"not recommended; discolored; softened; weight loss";"10";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";""
"3";"Cellulose Acetate";"";"sodium cyanide";"cyanogran";"";"143-33-9";"CNNa";"salts";"3";"not recommended";"50";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"4";"Cellulose Acetate Butyrate";"";"sodium cyanide";"cyanogran";"";"143-33-9";"CNNa";"salts";"2";"questionable; weight gain";"10";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";""
"5";"Cellulose Acetate Butyrate";"";"sodium cyanide";"cyanogran";"";"143-33-9";"CNNa";"salts";"1";"recommended";"50";"60 – 70";"";"saturated, weight loss";"1";"";"";"";"";"";"";"";"";"";""
"6";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"sodium cyanide";"cyanogran";"";"143-33-9";"CNNa";"salts";"1";"recommended";"10";"110";"<6";"";"16";"";"";"";"";"";"";"";"";"";""
"7";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"";"sodium cyanide";"cyanogran";"";"143-33-9";"CNNa";"salts";"1";"recommended";"50";"150";"";"";"16";"";"";"";"";"";"";"";"";"";""
"8";"Chlorinated Polyvinyl Chloride (CPVC)";"";"sodium cyanide";"cyanogran";"";"143-33-9";"CNNa";"salts";"1";"recommended";"100";"70 – 212";"";"";"1, 12";"";"";"";"";"";"";"";"";"";""
"9";"Concrete";"";"sodium cyanide";"cyanogran";"";"143-33-9";"CNNa";"salts";"1";"recommended";"10 – 90";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"10";"Epoxy Resin, Glass Fiber- Reinforced";"";"sodium cyanide";"cyanogran";"";"143-33-9";"CNNa";"salts";"1";"recommended";"6";"70 – 212";"";"";"1, 19";"";"";"";"";"";"";"";"";"";""
"11";"Epoxy Resin, Glass Fiber- Reinforced";"";"sodium cyanide";"cyanogran";"";"143-33-9";"CNNa";"salts";"1";"recommended";"6 – 80";"70 – 212";"";"";"1, 19";"";"";"";"";"";"";"";"";"";""
"12";"Epoxy Resin, Glass Fiber- Reinforced";"";"sodium cyanide";"cyanogran";"saturated";"143-33-9";"CNNa";"salts";"1";"recommended";"100";"70 – 212";"";"";"1, 19";"";"";"";"";"";"";"";"";"";""
"13";"Fluororubber";"";"sodium cyanide";"cyanogran";"";"143-33-9";"CNNa";"salts";"1";"recommended";">10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"14";"Furfuryl Alcohol Resin, Asbestos-Reinforced";"";"sodium cyanide";"cyanogran";"";"143-33-9";"CNNa";"salts";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";""
"15";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"sodium cyanide";"cyanogran";"";"143-33-9";"CNNa";"salts";"1";"recommended";"10 – 80";"70 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";""
"16";"Glass, Chemical";"";"sodium cyanide";"cyanogran";"";"143-33-9";"CNNa";"salts";"1";"recommended";"10 – 80";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"17";"Nylon";"";"sodium cyanide";"cyanogran";"";"143-33-9";"CNNa";"salts";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"18";"Phenolic Resins, Asbestos-Reinforced";"";"sodium cyanide";"cyanogran";"";"143-33-9";"CNNa";"salts";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"19";"Phenolic Resins, Asbestos-Reinforced";"";"sodium cyanide";"cyanogran";"";"143-33-9";"CNNa";"salts";"1";"recommended";"100";"70 – 300";"";"";"1";"";"";"";"";"";"";"";"";"";""
"20";"Polyesters, Glass Fiber-Reinforced";"";"sodium cyanide";"cyanogran";"";"143-33-9";"CNNa";"salts";"1";"recommended";"10 – 80";"60 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"21";"Polyethylene (PE)";"";"sodium cyanide";"cyanogran";"";"143-33-9";"CNNa";"salts";"1";"recommended";"10 – 80";"70 – 125";"";"";"1, 21";"";"";"";"";"";"";"";"";"";""
"22";"Polyethylene (PE)";"";"sodium cyanide";"cyanogran";"";"143-33-9";"CNNa";"salts";"1";"recommended";"100";"70 – 150";"";"";"1, 21";"";"";"";"";"";"";"";"";"";""
"23";"Polymethyl Methacrylate (PMMA)";"";"sodium cyanide";"cyanogran";"";"143-33-9";"CNNa";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"24";"Polyphenylene Sulfide (40% Glass-Filled)";"Fortron PPS";"sodium cyanide";"cyanogran";"";"143-33-9";"CNNa";"salts";"1";"recommended";"100";"0 – 200";"<1";"";"11";"";"";"";"";"";"";"";"";"";""
"25";"Polypropylene (PP)";"";"sodium cyanide";"cyanogran";"saturated";"143-33-9";"CNNa";"salts";"1";"recommended";"10 – 80";"60 – 150";"<6";"";"1";"";"";"";"";"";"";"";"";"";""
"26";"Polypropylene (PP)";"";"sodium cyanide";"cyanogran";"";"143-33-9";"CNNa";"salts";"1";"recommended";"100";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"27";"Polyvinyl Chloride (PVC)";"";"sodium cyanide";"cyanogran";"";"143-33-9";"CNNa";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"28";"Polyvinylidene Fluoride (PVDF)";"";"sodium cyanide";"cyanogran";"";"143-33-9";"CNNa";"salts";"1";"recommended";"100";"70 – 275";"";"";"1, 23";"";"";"";"";"";"";"";"";"";""
"29";"Vinyl Ester Resins";"";"sodium cyanide";"cyanogran";"";"143-33-9";"CNNa";"salts";"1";"recommended";"any";"60 – 210";"";"";"7";"";"";"";"";"";"";"";"";"";""
"30";"Wood";"";"sodium cyanide";"cyanogran";"";"143-33-9";"CNNa";"salts";"1";"recommended";"10 – 70";"70 – 125";"";"cypress, pine, or redwood";"1";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
