sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Bromine";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";""
"51";"Polypropylene (PP)";"";"bromine";"";"7726-95-6";"Br2";"3";"not recommended; disintegrated";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"52";"Polyvinyl Chloride (PVC)";"";"bromine";"";"7726-95-6";"Br2";"2";"questionable";"10";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"53";"Polyvinyl Chloride (PVC)";"";"bromine";"";"7726-95-6";"Br2";"3";"not recommended";"10";"80 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"54";"Polyvinyl Chloride (PVC)";"";"bromine";"vapor";"7726-95-6";"Br2";"1";"recommended";"20";"150 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"55";"Polyvinyl Chloride (PVC)";"";"bromine";"liquid";"7726-95-6";"Br2";"3";"not recommended";"100";"70 – 150";"";"liquid";"1";"";"";"";"";"";"";"";"";"";"";"";""
"56";"Polyvinylidene Chloride (PVDC)";"Saran brand resin";"bromine";"";"7726-95-6";"Br2";"3";"not recommended";"100";"75";"";"";"6";"";"";"";"";"";"";"";"";"";"";"";""
"57";"Polyvinylidene Fluoride (PVDF)";"Kynar";"bromine";"";"7726-95-6";"Br2";"1";"recommended";"10";"70 – 212";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";"";""
"58";"Polyvinylidene Fluoride (PVDF)";"";"bromine";"";"7726-95-6";"Br2";"1";"recommended";"100";"70 – 150";"";"no water, wet";"1, 17";"";"";"";"";"";"";"";"";"";"";"";""
"59";"Polyvinylidene Fluoride (PVDF)";"";"bromine";"";"7726-95-6";"Br2";"2";"questionable";"100";"150 – 175";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";"";""
"60";"Polyvinylidene Fluoride (PVDF)";"";"bromine";"";"7726-95-6";"Br2";"3";"not recommended";"100";"175 – 285";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";"";""
"61";"Rubber, Butyl (BR)";"";"bromine";"saturated";"7726-95-6";"Br2";"2";"questionable";"10";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"62";"Rubber, Butyl (BR)";"";"bromine";"";"7726-95-6";"Br2";"3";"not recommended";"100";"60 – 70";"";"liquid at 16°C (60F), vapor at 21°C (70°F) questionable";"1";"";"";"";"";"";"";"";"";"";"";"";""
"63";"Rubber, Natural (NR)";"";"bromine";"saturated";"7726-95-6";"Br2";"3";"not recommended";"10";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"64";"Rubber, Natural (NR)";"";"bromine";"vapor";"7726-95-6";"Br2";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"65";"Vinyl Ester Resins";"";"bromine";"";"7726-95-6";"Br2";"1";"recommended; liquid not recommended";"100";"60 – 70";"";"no water, wet";"7";"";"";"";"";"";"";"";"";"";"";"";""
"66";"Vinyl Ester Resins";"";"bromine";"wet or dry gas";"7726-95-6";"Br2";"3";"not recommended";"100";"70 – 100";"";"";"7";"";"";"";"";"";"";"";"";"";"";"";""
"67";"Wood";"";"bromine";"";"7726-95-6";"Br2";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
