sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Butyl acrylate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"butyl acrylate";"141-32-2";"C7H12O2";"esters";"1";"recommended";"100";"70 – 90";"cyclic immersion; immersed";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Polypropylene (PP)";"";"butyl acrylate";"141-32-2";"C7H12O2";"esters";"3";"not recommended";"100";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Polyvinylidene Fluoride (PVDF)";"Kynar";"butyl acrylate";"141-32-2";"C7H12O2";"esters";"1";"recommended";"100";"60 – 125";"";"1, 17";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Polyvinylidene Fluoride (PVDF)";"";"butyl acrylate";"141-32-2";"C7H12O2";"esters";"2";"questionable";"100";"125 – 150";"";"1, 17";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Polyvinylidene Fluoride (PVDF)";"";"butyl acrylate";"141-32-2";"C7H12O2";"esters";"3";"not recommended";"100";"150 – 285";"";"1, 17";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
