sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Dibutyl phthalate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"dibutyl phthalate";"84-74-2";"C16H22O4";"esters";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"dibutyl phthalate";"84-74-2";"C16H22O4";"esters";"1";"recommended";"100";"100";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Chlorosulfonated Polyethylene";"";"dibutyl phthalate";"84-74-2";"C16H22O4";"esters";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"dibutyl phthalate";"84-74-2";"C16H22O4";"esters";"1";"recommended; wets";"100";"70 – 90";"";"immersed, cyclic immersion";"1, 22";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"dibutyl phthalate";"84-74-2";"C16H22O4";"esters";"1";"recommended";"100";"90 – 482";"";"";"1, 22";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Fluororubber";"";"dibutyl phthalate";"84-74-2";"C16H22O4";"esters";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Furfuryl Alcohol Resin, Asbestos-Reinforced";"";"dibutyl phthalate";"84-74-2";"C16H22O4";"esters";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"dibutyl phthalate";"84-74-2";"C16H22O4";"esters";"1";"recommended";"100";"70 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Glass, Chemical";"";"dibutyl phthalate";"84-74-2";"C16H22O4";"esters";"1";"recommended";"10";"70 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Glass, Chemical";"";"dibutyl phthalate";"84-74-2";"C16H22O4";"esters";"1";"recommended";"100";"70 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Nylon";"";"dibutyl phthalate";"84-74-2";"C16H22O4";"esters";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Phenolic Resins, Asbestos-Reinforced";"";"dibutyl phthalate";"84-74-2";"C16H22O4";"esters";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Phenolic Resins, Asbestos-Reinforced";"";"dibutyl phthalate";"84-74-2";"C16H22O4";"esters";"1";"recommended";"100";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Polychloroprene";"";"dibutyl phthalate";"84-74-2";"C16H22O4";"esters";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Polyethylene (PE)";"";"dibutyl phthalate";"84-74-2";"C16H22O4";"esters";"3";"not recommended; may stress crack; swollen; plasticizer";"100";"70 – 150";"";"";"1, 8";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Polypropylene (PP)";"";"dibutyl phthalate";"84-74-2";"C16H22O4";"esters";"1";"recommended";"100";"60 – 70";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Polypropylene (PP)";"";"dibutyl phthalate";"84-74-2";"C16H22O4";"esters";"2";"questionable";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Polypropylene (PP)";"";"dibutyl phthalate";"84-74-2";"C16H22O4";"esters";"3";"not recommended; disintegrated";"100";"150 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Polyvinyl Chloride (PVC)";"";"dibutyl phthalate";"84-74-2";"C16H22O4";"esters";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Rubber, Butyl (BR)";"";"dibutyl phthalate";"84-74-2";"C16H22O4";"esters";"2";"questionable";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Rubber, Natural (NR)";"";"dibutyl phthalate";"84-74-2";"C16H22O4";"esters";"2";"questionable";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Rubber, Natural (NR)";"";"dibutyl phthalate";"84-74-2";"C16H22O4";"esters";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Styrene Acrylonitrile Copolymer (SAN)";"";"dibutyl phthalate";"84-74-2";"C16H22O4";"esters";"3";"not recommended";"100";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
