sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ethyl acetate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"ethyl acetate";"141-78-6";"C4H8O2";"esters";"3";"not recommended; weight loss";"100";"70 – 125";">12";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Acetal Resins (Polyoxymethylene)";"";"ethyl acetate";"141-78-6";"C4H8O2";"esters";"3";"not recommended; tensile strength loss 50%, ";"100";"125 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"ethyl acetate";"141-78-6";"C4H8O2";"esters";"3";"not recommended; disintegrated ";"100";"60 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Cellulose Acetate";"";"ethyl acetate";"141-78-6";"C4H8O2";"esters";"3";"not recommended; may dissolve";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Cellulose Acetate Butyrate";"";"ethyl acetate";"141-78-6";"C4H8O2";"esters";"3";"not recommended; disintegrated";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"ethyl acetate";"141-78-6";"C4H8O2";"esters";"3";"not recommended";"100";"75";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"";"ethyl acetate";"141-78-6";"C4H8O2";"esters";"3";"not recommended";"100";"125";"";"";"16";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"ethyl acetate";"141-78-6";"C4H8O2";"esters";"3";"not recommended";"100";"80";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"";"ethyl acetate";"141-78-6";"C4H8O2";"esters";"3";"not recommended";"100";"130";"";"";"16";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Chlorinated Polyvinyl Chloride (CPVC)";"";"ethyl acetate";"141-78-6";"C4H8O2";"esters";"3";"not recommended";"100";"70 – 212";"";"";"1, 20";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Chlorosulfonated Polyethylene";"";"ethyl acetate";"141-78-6";"C4H8O2";"esters";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Concrete";"";"ethyl acetate";"141-78-6";"C4H8O2";"esters";"1";"recommended; cracked";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"";"ethyl acetate";"141-78-6";"C4H8O2";"esters";"1";"recommended; over 3 years";">10";"75 – 150";">12";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Epoxy Resin, Glass Fiber- Reinforced";"";"ethyl acetate";"141-78-6";"C4H8O2";"esters";"1";"recommended";"100";"70 – 120";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Epoxy Resin, Glass Fiber- Reinforced";"";"ethyl acetate";"141-78-6";"C4H8O2";"esters";"3";"not recommended";"100";"130 – 150";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"";"ethyl acetate";"141-78-6";"C4H8O2";"esters";"1";"recommended; steady state reached in one week exposure";"100";"32 – 150";"<1";"";"1, 22";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"";"ethyl acetate";"141-78-6";"C4H8O2";"esters";"2";"questionable; strength loss";"100";"150 – 175";"";"";"1, 22";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"ethyl acetate";"141-78-6";"C4H8O2";"esters";"1";"recommended";"100";"70 – 90";"";"cyclic immersion; immersed";"1, 22";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Fluororubber";"";"ethyl acetate";"141-78-6";"C4H8O2";"esters";"3";"not recommended; weight gain";"100";"70 – 135";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Fluororubber";"";"ethyl acetate";"141-78-6";"C4H8O2";"esters";"3";"not recommended; swollen";"100";"135 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Furfuryl Alcohol Resin, Asbestos-Reinforced";"";"ethyl acetate";"141-78-6";"C4H8O2";"esters";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"ethyl acetate";"141-78-6";"C4H8O2";"esters";"1";"recommended";"100";"70 – 175";">12";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Glass, Chemical";"";"ethyl acetate";"141-78-6";"C4H8O2";"esters";"1";"recommended";"100";"70 – 175";"";"also if acid";"1";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Nylon";"";"ethyl acetate";"141-78-6";"C4H8O2";"esters";"1";"recommended";"100";"60 – 70";"[>12]";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Nylon";"";"ethyl acetate";"141-78-6";"C4H8O2";"esters";"1";"recommended";"100";"150 – 175";"[";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Phenolic Resins, Asbestos-Reinforced";"";"ethyl acetate";"141-78-6";"C4H8O2";"esters";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
