sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ethyl acetoacetate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"ethyl acetoacetate";"saturated";"141-97-9";"C6H10O3";"esters";"1";"recommended";"100";"80";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"2";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"ethyl acetoacetate";"";"141-97-9";"C6H10O3";"esters";"1";"recommended";"100";"70 – 150";"";"cyclic immersion; immersed";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Polyesters, Glass Fiber-Reinforced";"";"ethyl acetoacetate";"saturated";"141-97-9";"C6H10O3";"esters";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"4";"Polyvinylidene Fluoride (PVDF)";"";"ethyl acetoacetate";"";"141-97-9";"C6H10O3";"esters";"1";"recommended";"100";"60 – 70";"";"";"1, 23";"";"";"";"";"";"";"";"";"";"";""
"5";"Polyvinylidene Fluoride (PVDF)";"";"ethyl acetoacetate";"";"141-97-9";"C6H10O3";"esters";"2";"questionable";"100";"70 – 150";"";"";"1, 23";"";"";"";"";"";"";"";"";"";"";""
"6";"Polyvinylidene Fluoride (PVDF)";"";"ethyl acetoacetate";"";"141-97-9";"C6H10O3";"esters";"3";"not recommended";"100";"150 – 212";"";"";"1, 23";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
