sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ethyl acrylate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"ethyl acrylate";"ethyl propenoate";"140-88-5";"C5H8O2";"esters";"1";"recommended";"100";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"ethyl acrylate";"ethyl propenoate";"140-88-5";"C5H8O2";"esters";"3";"not recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Chlorinated Polyvinyl Chloride (CPVC)";"ethyl acrylate";"ethyl propenoate";"140-88-5";"C5H8O2";"esters";"3";"not recommended";"100";"70 – 212";"";"1, 20";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Chlorosulfonated Polyethylene";"ethyl acrylate";"ethyl propenoate";"140-88-5";"C5H8O2";"esters";"1";"recommended";"100";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Epoxy Resin, Glass Fiber- Reinforced";"ethyl acrylate";"ethyl propenoate";"140-88-5";"C5H8O2";"esters";"1";"recommended";"100";"70 – 120";"";"1, 19";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Epoxy Resin, Glass Fiber- Reinforced";"ethyl acrylate";"ethyl propenoate";"140-88-5";"C5H8O2";"esters";"2";"questionable";"100";"130 – 150";"";"1, 19";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"ethyl acrylate";"ethyl propenoate";"140-88-5";"C5H8O2";"esters";"1";"recommended";"100";"70 – 90";"cyclic immersion; immersed";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Fluororubber";"ethyl acrylate";"ethyl propenoate";"140-88-5";"C5H8O2";"esters";"3";"not recommended";"100";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Polychloroprene";"ethyl acrylate";"ethyl propenoate";"140-88-5";"C5H8O2";"esters";"2";"questionable";"100";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Polyvinyl Chloride (PVC)";"ethyl acrylate";"ethyl propenoate";"140-88-5";"C5H8O2";"esters";"3";"not recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Polyvinylidene Fluoride (PVDF)";"ethyl acrylate";"ethyl propenoate";"140-88-5";"C5H8O2";"esters";"1";"recommended";"100";"60 – 70";"";"1, 23";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Polyvinylidene Fluoride (PVDF)";"ethyl acrylate";"ethyl propenoate";"140-88-5";"C5H8O2";"esters";"2";"questionable";"100";"70 – 150";"";"1, 23";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Polyvinylidene Fluoride (PVDF)";"ethyl acrylate";"ethyl propenoate";"140-88-5";"C5H8O2";"esters";"3";"not recommended";"100";"150 – 212";"";"1, 23";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Rubber, Butyl (BR)";"ethyl acrylate";"ethyl propenoate";"140-88-5";"C5H8O2";"esters";"1";"recommended";"100";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Rubber, Natural (NR)";"ethyl acrylate";"ethyl propenoate";"140-88-5";"C5H8O2";"esters";"2";"questionable";"100";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
