sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Fruit juice";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium note";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"fruit juice";"";"foods & beverages";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Acetal Resins (Polyoxymethylene)";"fruit juice";"";"foods & beverages";"3";"not recommended";"100";"150 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"fruit juice";"";"foods & beverages";"1";"recommended";"10";"70 – 212";"";"including grape and orange";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"fruit juice";"";"foods & beverages";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Cellulose Acetate";"fruit juice";"grape and lemon";"foods & beverages";"3";"not recommended; ";"10";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Cellulose Acetate";"fruit juice";"orange";"foods & beverages";"2";"questionable";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Cellulose Acetate Butyrate";"fruit juice";"lemon";"foods & beverages";"3";"not recommended; weight gain";"100";"60 – 70";"<1";"lemon only, orange questionable";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Chlorinated Polyvinyl Chloride (CPVC)";"fruit juice";"";"foods & beverages";"1";"recommended";"100";"70 – 212";"";"";"1, 2";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Chlorosulfonated Polyethylene";"fruit juice";"";"foods & beverages";"1";"recommended";"100";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Concrete";"fruit juice";"";"foods & beverages";"3";"not recommended";">10";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Fluororubber";"fruit juice";"";"foods & beverages";"1";"recommended";"10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Glass, Chemical";"fruit juice";"";"foods & beverages";"1";"recommended";"100";"70 – 212";"";"with 0.1% sulfur dioxide; vats, pumps, and pipes";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Nylon";"fruit juice";"";"foods & beverages";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Polychloroprene";"fruit juice";"";"foods & beverages";"1";"recommended";"100";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Polyethylene (PE)";"fruit juice";"";"foods & beverages";"1";"recommended";"100";"70 – 150";"";"including grape, grapefruit, lemon, lime, orange, and orange extract; ""Bouquet"" will permeate";"1, 8";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Polymethyl Methacrylate (PMMA)";"fruit juice";"";"foods & beverages";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Polypropylene (PP)";"fruit juice";"";"foods & beverages";"1";"recommended; orange juice 21-27°C (70-80°F) only";"100";"60 – 150";"<6";"including apple";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Polyvinyl Chloride (PVC)";"fruit juice";"";"foods & beverages";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Rubber, Butyl (BR)";"fruit juice";"";"foods & beverages";"1";"recommended";"100";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Rubber, Natural (NR)";"fruit juice";"";"foods & beverages";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Rubber, Natural (NR)";"fruit juice";"";"foods & beverages";"3";"not recommended";"100";"150 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Styrene Acrylonitrile Copolymer (SAN)";"fruit juice";"grapefruit, lemon, lime, pineapple";"foods & beverages";"1";"recommended";"100";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
