sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Mustard";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium note";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Cellulose Acetate";"mustard";"";"foods & beverages";"3";"not recommended; discolored; weight gain";"100";"60 – 70";"<1";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Cellulose Acetate Butyrate";"mustard";"";"foods & beverages";"3";"not recommended; discolored; weight gain";"100";"60 – 70";"<1";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Polyesters, Glass Fiber-Reinforced";"mustard";"";"foods & beverages";"1";"recommended";"100";"70 – 200";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Polyethylene (PE)";"mustard";"prepared, ground in vinegar";"foods & beverages";"1";"recommended";"90";"70 – 150";"";"1, 21";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Polypropylene (PP)";"mustard";"";"foods & beverages";"1";"recommended";"100";"70 – 80";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Styrene Acrylonitrile Copolymer (SAN)";"mustard";"";"foods & beverages";"1";"recommended";"100";"70 – 125";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
