sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Diesel fuel";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"diesel fuel";"petroleum product";"fuels";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"diesel fuel";"petroleum product";"fuels";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Cellulose Acetate Butyrate";"";"diesel fuel";"petroleum product";"fuels";"1";"recommended";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"diesel fuel";"petroleum product";"fuels";"1";"recommended";"100";"75";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"";"diesel fuel";"petroleum product";"fuels";"1";"recommended";"100";"175";"";"";"16";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Chlorosulfonated Polyethylene";"";"diesel fuel";"petroleum product";"fuels";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Epoxy Resin, Glass Fiber- Reinforced";"";"diesel fuel";"petroleum product";"fuels";"1";"recommended";"100";"70 – 225";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"diesel fuel";"petroleum product";"fuels";"1";"recommended";"100";"70 – 90";"";"cyclic immersion; immersed";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Nylon";"";"diesel fuel";"petroleum product";"fuels";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Polychloroprene";"";"diesel fuel";"petroleum product";"fuels";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Polyesters, Glass Fiber-Reinforced";"";"diesel fuel";"petroleum product";"fuels";"1";"recommended";"100";"70 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Polyethylene (PE)";"";"diesel fuel";"petroleum product";"fuels";"1";"recommended; strong plasticizer - 8%";"100";"60 – 70";"";"";"1, 8";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Polyethylene (PE)";"";"diesel fuel";"petroleum product";"fuels";"3";"not recommended";"100";"70 – 150";"";"";"1, 8";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Polyphenylene Sulfide (40% Glass-Filled)";"Fortron PPS";"diesel fuel";"petroleum product";"fuels";"1";"recommended";"100";"0 – 200";"<1";"";"11";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Polyphenylene Sulfide, Glass Fiber-Reinforced";"Ryton PPS R-4";"diesel fuel";"petroleum product";"fuels";"1";"recommended";"100";"200";"<12";"";"18";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Polypropylene (PP)";"";"diesel fuel";"petroleum product";"fuels";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Polypropylene (PP)";"";"diesel fuel";"petroleum product";"fuels";"2";"questionable";"100";"80 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Polypropylene (PP)";"";"diesel fuel";"petroleum product";"fuels";"3";"not recommended";"100";"125 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Polyvinylidene Chloride (PVDC)";"Saran brand resin";"diesel fuel";"petroleum product";"fuels";"1";"recommended";"100";"125";"";"";"6";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Polyvinylidene Fluoride (PVDF)";"Kynar";"diesel fuel";"petroleum product";"fuels";"1";"recommended";"100";"70 – 285";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Rubber, Butyl (BR)";"";"diesel fuel";"petroleum product";"fuels";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Rubber, Natural (NR)";"";"diesel fuel";"petroleum product";"fuels";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Vinyl Ester Resins";"";"diesel fuel";"petroleum product";"fuels";"1";"recommended";"100";"70 – 180";"";"";"7";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
