sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Air";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"air";"";"gases";"1";"recommended";"100";"60 – 70";">12";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Carbon-Graphite Composites";"";"air";"";"gases";"1";"recommended";"100";"70 – 338";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Epoxy Resin, Glass Fiber- Reinforced";"";"air";"dry, wet";"gases";"1";"recommended";"100";"70 – 250";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"Teflon; Hostaflon; Fluon";"air";"";"gases";"1";"recommended";"100";"250 – 400";"";"";"10";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"air";"";"gases";"1";"recommended";"100";"70 – 150";"";"cyclic immersion; immersed";"1, 22";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Furan Laminates";"";"air";"";"gases";"1";"recommended";"100";"70 – 80";">12";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"air";"";"gases";"1";"recommended";"100";"70 – 200";"";"plating room";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Glass, Chemical";"";"air";"";"gases";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Polyesters, Glass Fiber-Reinforced";"";"air";"";"gases";"1";"recommended";"100";"70 – 125";"";"100% relative humidity; chemical plant";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Polyethylene (PE)";"";"air";"";"gases";"1";"recommended; compressed air not recommended - safety hazard; non-pressurized systems not restricted";"100";"60 – 90";"";"";"1, 8";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Polyethylene (PE)";"";"air";"";"gases";"3";"not recommended";"100";"90 – 150";"";"embrittlement due to oxidation but properly protected polyethylene would take 50-100 years to embrittle at 66°C (150°F)";"1, 8";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Polypropylene (PP)";"";"air";"";"gases";"1";"recommended";"100";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Polyvinylidene Chloride (PVDC)";"Saran brand resin";"air";"";"gases";"1";"recommended";"100";"175";"";"";"6";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Vinyl Ester Resins";"";"air";"";"gases";"1";"recommended";"100";"70 – 300";"";"";"7";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
