sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Carbon monoxide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"carbon monoxide";"carbon oxide";"630-08-0";"CO";"gases";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"carbon monoxide";"carbon oxide";"630-08-0";"CO";"gases";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Chlorinated Polyvinyl Chloride (CPVC)";"";"carbon monoxide";"carbon oxide";"630-08-0";"CO";"gases";"1";"recommended";"100";"70 – 212";"";"";"1, 2";"";"";"";"";"";"";"";"";"";"";""
"4";"Chlorosulfonated Polyethylene";"";"carbon monoxide";"carbon oxide";"630-08-0";"CO";"gases";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"5";"Concrete";"";"carbon monoxide";"carbon oxide";"630-08-0";"CO";"gases";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"6";"Epoxy Resin, Glass Fiber- Reinforced";"";"carbon monoxide";"carbon oxide";"630-08-0";"CO";"gases";"1";"recommended";"100";"70 – 212";"";"";"1, 24";"";"";"";"";"";"";"";"";"";"";""
"7";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"carbon monoxide";"carbon oxide";"630-08-0";"CO";"gases";"1";"recommended";"100";"70 – 150";"";"cyclic immersion; immersed";"1";"";"";"";"";"";"";"";"";"";"";""
"8";"Fluororubber";"";"carbon monoxide";"carbon oxide";"630-08-0";"CO";"gases";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"9";"Glass, Chemical";"";"carbon monoxide";"carbon oxide";"630-08-0";"CO";"gases";"1";"recommended";"100";"70 – 392";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"10";"Polychloroprene";"";"carbon monoxide";"carbon oxide";"630-08-0";"CO";"gases";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"11";"Polyesters, Glass Fiber-Reinforced";"";"carbon monoxide";"carbon oxide";"630-08-0";"CO";"gases";"1";"recommended";"100";"70 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"12";"Polyethylene (PE)";"";"carbon monoxide";"carbon oxide";"630-08-0";"CO";"gases";"1";"recommended";"100";"70 – 150";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";""
"13";"Polymethyl Methacrylate (PMMA)";"";"carbon monoxide";"carbon oxide";"630-08-0";"CO";"gases";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"14";"Polypropylene (PP)";"";"carbon monoxide";"carbon oxide";"630-08-0";"CO";"gases";"1";"recommended";"100";"60 – 150";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";""
"15";"Polyvinyl Chloride (PVC)";"";"carbon monoxide";"carbon oxide";"630-08-0";"CO";"gases";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"16";"Polyvinylidene Chloride (PVDC)";"Saran brand resin";"carbon monoxide";"carbon oxide";"630-08-0";"CO";"gases";"1";"recommended";"100";"175";"";"";"6";"";"";"";"";"";"";"";"";"";"";""
"17";"Rubber, Butyl (BR)";"";"carbon monoxide";"carbon oxide";"630-08-0";"CO";"gases";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"18";"Rubber, Natural (NR)";"";"carbon monoxide";"carbon oxide";"630-08-0";"CO";"gases";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"19";"Vinyl Ester Resins";"";"carbon monoxide";"carbon oxide";"630-08-0";"CO";"gases";"1";"recommended";"100";"70 – 400";"";"";"7";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
