sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Hydrogen bromide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"hydrogen bromide";"hydrobromic acid";"";"10035-10-6";"BrH";"gases";"3";"not recommended";"10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"2";"Acetal Resins (Polyoxymethylene)";"";"hydrogen bromide";"hydrobromic acid";"";"10035-10-6";"BrH";"gases";"3";"not recommended";"50";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"3";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"hydrogen bromide";"hydrobromic acid";"";"10035-10-6";"BrH";"gases";"3";"not recommended";"10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"4";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"hydrogen bromide";"hydrobromic acid";"";"10035-10-6";"BrH";"gases";"3";"not recommended";"50";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"5";"Chlorinated Polyvinyl Chloride (CPVC)";"";"hydrogen bromide";"hydrobromic acid";"";"10035-10-6";"BrH";"gases";"1";"recommended";"20";"70 – 212";"";"";"1, 2";"";"";"";"";"";"";"";"";"";""
"6";"Chlorosulfonated Polyethylene";"";"hydrogen bromide";"hydrobromic acid";"";"10035-10-6";"BrH";"gases";"1";"recommended";"10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"7";"Chlorosulfonated Polyethylene";"";"hydrogen bromide";"hydrobromic acid";"";"10035-10-6";"BrH";"gases";"1";"recommended";"50";"70 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";""
"8";"Chlorosulfonated Polyethylene";"";"hydrogen bromide";"hydrobromic acid";"";"10035-10-6";"BrH";"gases";"2";"questionable";"50";"175 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"9";"Concrete";"";"hydrogen bromide";"hydrobromic acid";"";"10035-10-6";"BrH";"gases";"3";"not recommended";">10";"60 – 70";"";"also in organic solvents";"1";"";"";"";"";"";"";"";"";"";""
"10";"Concrete";"";"hydrogen bromide";"hydrobromic acid";"";"10035-10-6";"BrH";"gases";"3";"not recommended";"100";"60 – 70";"";"no water";"1";"";"";"";"";"";"";"";"";"";""
"11";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"";"hydrogen bromide";"hydrobromic acid";"";"10035-10-6";"BrH";"gases";"1";"recommended; over 3 years";"10 – 50";"75 – 120";">12";"";"1";"";"";"";"";"";"";"";"";"";""
"12";"Epoxy Resin, Glass Fiber- Reinforced";"";"hydrogen bromide";"hydrobromic acid";"in water";"10035-10-6";"BrH";"gases";"1";"recommended";"10 – 20";"70 – 150";"";"";"1, 19";"";"";"";"";"";"";"";"";"";""
"13";"Epoxy Resin, Glass Fiber- Reinforced";"";"hydrogen bromide";"hydrobromic acid";"in water";"10035-10-6";"BrH";"gases";"1";"recommended";"20 – 50";"70 – 100";"";"";"1, 19";"";"";"";"";"";"";"";"";"";""
"14";"Epoxy Resin, Glass Fiber- Reinforced";"";"hydrogen bromide";"hydrobromic acid";"";"10035-10-6";"BrH";"gases";"1";"recommended";"100";"70 – 125";"";"";"1, 19";"";"";"";"";"";"";"";"";"";""
"15";"Epoxy Resin, Glass Fiber- Reinforced";"";"hydrogen bromide";"hydrobromic acid";"";"10035-10-6";"BrH";"gases";"3";"not recommended";"100";"125 – 150";"";"";"1, 19";"";"";"";"";"";"";"";"";"";""
"16";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"";"hydrogen bromide";"hydrobromic acid";"";"10035-10-6";"BrH";"gases";"1";"recommended";"50";"32 – 250";"<1";"";"1";"";"";"";"";"";"";"";"";"";""
"17";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"hydrogen bromide";"hydrobromic acid";"";"10035-10-6";"BrH";"gases";"1";"recommended";"100";"70 – 150";"";"cyclic immersion; immersed";"1";"";"";"";"";"";"";"";"";"";""
"18";"Fluororubber";"";"hydrogen bromide";"hydrobromic acid";"";"10035-10-6";"BrH";"gases";"1";"recommended; permeable";"10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"19";"Fluororubber";"";"hydrogen bromide";"hydrobromic acid";"";"10035-10-6";"BrH";"gases";"1";"recommended";"50";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"20";"Fluororubber";"";"hydrogen bromide";"hydrobromic acid";"";"10035-10-6";"BrH";"gases";"2";"questionable";"50";"150 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";""
"21";"Fluororubber";"";"hydrogen bromide";"hydrobromic acid";"";"10035-10-6";"BrH";"gases";"3";"not recommended";"50";"175 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"22";"Furfuryl Alcohol Resin, Asbestos-Reinforced";"";"hydrogen bromide";"hydrobromic acid";"";"10035-10-6";"BrH";"gases";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";""
"23";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"hydrogen bromide";"hydrobromic acid";"";"10035-10-6";"BrH";"gases";"1";"recommended";"40";"70 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";""
"24";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"hydrogen bromide";"hydrobromic acid";"";"10035-10-6";"BrH";"gases";"1";"recommended";"100";"70 – 200";"";"";"1";"";"";"";"";"";"";"";"";"";""
"25";"Glass, Chemical";"";"hydrogen bromide";"hydrobromic acid";"";"10035-10-6";"BrH";"gases";"1";"recommended";"10 – 90";"70 – 212";"";"all solvents";"1";"";"";"";"";"";"";"";"";"";""
"26";"Nylon";"";"hydrogen bromide";"hydrobromic acid";"";"10035-10-6";"BrH";"gases";"3";"not recommended";"10";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"27";"Phenolic Resins, Asbestos-Reinforced";"";"hydrogen bromide";"hydrobromic acid";"";"10035-10-6";"BrH";"gases";"1";"recommended";"40";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"28";"Phenolic Resins, Asbestos-Reinforced";"";"hydrogen bromide";"hydrobromic acid";"";"10035-10-6";"BrH";"gases";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"29";"Polychloroprene";"";"hydrogen bromide";"hydrobromic acid";"";"10035-10-6";"BrH";"gases";"1";"recommended";"10";"70 – 100";"";"";"1";"";"";"";"";"";"";"";"";"";""
"30";"Polychloroprene";"";"hydrogen bromide";"hydrobromic acid";"";"10035-10-6";"BrH";"gases";"2";"questionable";"10";"100 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"31";"Polychloroprene";"";"hydrogen bromide";"hydrobromic acid";"";"10035-10-6";"BrH";"gases";"3";"not recommended";"10";"150 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"32";"Polychloroprene";"";"hydrogen bromide";"hydrobromic acid";"";"10035-10-6";"BrH";"gases";"2";"questionable";"50";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"33";"Polychloroprene";"";"hydrogen bromide";"hydrobromic acid";"";"10035-10-6";"BrH";"gases";"3";"not recommended";"50";"150 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"34";"Polyesters, Glass Fiber-Reinforced";"";"hydrogen bromide";"hydrobromic acid";"";"10035-10-6";"BrH";"gases";"1";"recommended";"10 – 50";"50 – 200";"";"";"1";"";"";"";"";"";"";"";"";"";""
"35";"Polyesters, Glass Fiber-Reinforced";"";"hydrogen bromide";"hydrobromic acid";"";"10035-10-6";"BrH";"gases";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"36";"Polymethyl Methacrylate (PMMA)";"";"hydrogen bromide";"hydrobromic acid";"";"10035-10-6";"BrH";"gases";"1";"recommended";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"37";"Polypropylene (PP)";"";"hydrogen bromide";"hydrobromic acid";"";"10035-10-6";"BrH";"gases";"1";"recommended; may stress crack";"50";"60 – 125";"<6";"";"1";"";"";"";"";"";"";"";"";"";""
"38";"Polypropylene (PP)";"";"hydrogen bromide";"hydrobromic acid";"";"10035-10-6";"BrH";"gases";"3";"not recommended";"50";"125 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
