sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Sulfur dioxide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"51";"Polyethylene (PE)";"";"sulfur dioxide";"liquid";"7446-09-05";"O2S";"gases";"3";"not recommended";"90";"80 – 125";"";"liquid";"1, 8";"";"";"";"";"";"";"";"";"";"";""
"52";"Polyethylene (PE)";"";"sulfur dioxide";"";"7446-09-05";"O2S";"gases";"3";"not recommended";"90";"125 – 150";"";"";"1, 8";"";"";"";"";"";"";"";"";"";"";""
"53";"Polyethylene (PE)";"";"sulfur dioxide";"";"7446-09-05";"O2S";"gases";"2";"questionable";"100";"70 – 150";"";"no water, probably would destroy antioxidant in resin, chemical action seems unlikely";"1, 8";"";"";"";"";"";"";"";"";"";"";""
"54";"Polymethyl Methacrylate (PMMA)";"";"sulfur dioxide";"";"7446-09-05";"O2S";"gases";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"55";"Polyphenylene Sulfide (40% Glass-Filled)";"Fortron PPS";"sulfur dioxide";"";"7446-09-05";"O2S";"gases";"1";"recommended";"100";"0 – 200";"<1";"";"11";"";"";"";"";"";"";"";"";"";"";""
"56";"Polypropylene (PP)";"";"sulfur dioxide";"";"7446-09-05";"O2S";"gases";"1";"recommended";"100";"70 – 80";"";"no water, wet";"1";"";"";"";"";"";"";"";"";"";"";""
"57";"Polyvinyl Chloride (PVC)";"";"sulfur dioxide";"";"7446-09-05";"O2S";"gases";"3";"not recommended";"10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"58";"Polyvinyl Chloride (PVC)";"";"sulfur dioxide";"wet";"7446-09-05";"O2S";"gases";"2";"questionable";"90";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"59";"Polyvinyl Chloride (PVC)";"";"sulfur dioxide";"";"7446-09-05";"O2S";"gases";"3";"not recommended";"90";"80 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"60";"Polyvinyl Chloride (PVC)";"";"sulfur dioxide";"";"7446-09-05";"O2S";"gases";"3";"not recommended";"100";"0 – 32";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"61";"Polyvinyl Chloride (PVC)";"";"sulfur dioxide";"";"7446-09-05";"O2S";"gases";"1";"recommended";"100";"70 – 150";"";"no water";"1";"";"";"";"";"";"";"";"";"";"";""
