sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Dichloroethylene";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium note";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"dichloroethylene";"";"halogenated aliphatics";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"dichloroethylene";"";"halogenated aliphatics";"2";"questionable";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Chlorosulfonated Polyethylene";"dichloroethylene";"";"halogenated aliphatics";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Concrete";"dichloroethylene";"";"halogenated aliphatics";"2";"questionable";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Epoxy Resin, Glass Fiber- Reinforced";"dichloroethylene";"";"halogenated aliphatics";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Epoxy Resin, Glass Fiber- Reinforced";"dichloroethylene";"";"halogenated aliphatics";"3";"not recommended";"100";"80 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"dichloroethylene";"";"halogenated aliphatics";"1";"recommended; weight gain; strength loss; steady state reached in one week exposure";"100";"32 – 90";"<1";"";"1, 22";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"dichloroethylene";"";"halogenated aliphatics";"1";"recommended";"100";"70 – 90";"";"cyclic immersion; immersed";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Fluororubber";"dichloroethylene";"";"halogenated aliphatics";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"dichloroethylene";"";"halogenated aliphatics";"1";"recommended";"100";"70 – 80";">12";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Glass, Chemical";"dichloroethylene";"";"halogenated aliphatics";"1";"recommended";"100";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Nylon";"dichloroethylene";"wet";"halogenated aliphatics";"1";"recommended";"100";"70 – 212";"";"~7pH; ";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Polychloroprene";"dichloroethylene";"";"halogenated aliphatics";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Polyethylene (PE)";"dichloroethylene";"";"halogenated aliphatics";"3";"not recommended";"100";"60 – 80";"";"plasticizer";"1, 8";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Polymethyl Methacrylate (PMMA)";"dichloroethylene";"";"halogenated aliphatics";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Polypropylene (PP)";"dichloroethylene";"";"halogenated aliphatics";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Rubber, Butyl (BR)";"dichloroethylene";"";"halogenated aliphatics";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Rubber, Natural (NR)";"dichloroethylene";"";"halogenated aliphatics";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Wood";"dichloroethylene";"";"halogenated aliphatics";"2";"questionable";"100";"70 – 175";"";"permeable";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
