sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Perchloroethylene";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"perchloroethylene";"tetrachloroethene";"";"127-18-4";"C2Cl4";"halogenated aliphatics";"2";"questionable";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"perchloroethylene";"tetrachloroethene";"";"127-18-4";"C2Cl4";"halogenated aliphatics";"3";"not recommended; weight gain ";"100";"70 – 135";"";"";"1";"";"";"";"";"";"";"";"";"";""
"3";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"perchloroethylene";"tetrachloroethene";"";"127-18-4";"C2Cl4";"halogenated aliphatics";"3";"not recommended; swollen ";"100";"135 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"4";"Cellulose Acetate";"";"perchloroethylene";"tetrachloroethene";"";"127-18-4";"C2Cl4";"halogenated aliphatics";"1";"recommended";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";""
"5";"Cellulose Acetate Butyrate";"";"perchloroethylene";"tetrachloroethene";"";"127-18-4";"C2Cl4";"halogenated aliphatics";"3";"not recommended; swollen";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";""
"6";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"perchloroethylene";"tetrachloroethene";"";"127-18-4";"C2Cl4";"halogenated aliphatics";"1";"recommended";"100";"70";"<6";"";"16";"";"";"";"";"";"";"";"";"";""
"7";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"perchloroethylene";"tetrachloroethene";"vapor & condensate";"127-18-4";"C2Cl4";"halogenated aliphatics";"2";"questionable; recommended at 49°C (120°F)";"100";"125";"";"";"16";"";"";"";"";"";"";"";"";"";""
"8";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"perchloroethylene";"tetrachloroethene";"vapor & condensate";"127-18-4";"C2Cl4";"halogenated aliphatics";"1";"recommended";"100";"115";"<6";"";"16";"";"";"";"";"";"";"";"";"";""
"9";"Chlorosulfonated Polyethylene";"";"perchloroethylene";"tetrachloroethene";"";"127-18-4";"C2Cl4";"halogenated aliphatics";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"10";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"";"perchloroethylene";"tetrachloroethene";"";"127-18-4";"C2Cl4";"halogenated aliphatics";"1";"recommended; over 3 years";">10";"75 – 125";">12";"";"1";"";"";"";"";"";"";"";"";"";""
"11";"Epoxy Resin, Glass Fiber- Reinforced";"";"perchloroethylene";"tetrachloroethene";"";"127-18-4";"C2Cl4";"halogenated aliphatics";"1";"recommended";"100";"70 – 100";"";"";"1, 24";"";"";"";"";"";"";"";"";"";""
"12";"Epoxy Resin, Glass Fiber- Reinforced";"";"perchloroethylene";"tetrachloroethene";"";"127-18-4";"C2Cl4";"halogenated aliphatics";"2";"questionable";"100";"100 – 150";"";"";"1, 24";"";"";"";"";"";"";"";"";"";""
"13";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"perchloroethylene";"tetrachloroethene";"";"127-18-4";"C2Cl4";"halogenated aliphatics";"1";"recommended; wets";"100";"70 – 90";"";"cyclic immersion";"1";"";"";"";"";"";"";"";"";"";""
"14";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"perchloroethylene";"tetrachloroethene";"";"127-18-4";"C2Cl4";"halogenated aliphatics";"1";"recommended";"100";"90 – 225";"";"";"1";"";"";"";"";"";"";"";"";"";""
"15";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"perchloroethylene";"tetrachloroethene";"";"127-18-4";"C2Cl4";"halogenated aliphatics";"1";"recommended; weight gain, ";"100";"225 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";""
"16";"Fluororubber";"";"perchloroethylene";"tetrachloroethene";"";"127-18-4";"C2Cl4";"halogenated aliphatics";"1";"recommended; weight gain";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"17";"Furan Laminates";"";"perchloroethylene";"tetrachloroethene";"";"127-18-4";"C2Cl4";"halogenated aliphatics";"2";"questionable";"100";"175 – 200";"<6";"";"1";"";"";"";"";"";"";"";"";"";""
"18";"Furfuryl Alcohol Resin, Asbestos-Reinforced";"";"perchloroethylene";"tetrachloroethene";"";"127-18-4";"C2Cl4";"halogenated aliphatics";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";""
"19";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"perchloroethylene";"tetrachloroethene";"";"127-18-4";"C2Cl4";"halogenated aliphatics";"1";"recommended";"100";"70 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";""
"20";"Nylon";"";"perchloroethylene";"tetrachloroethene";"";"127-18-4";"C2Cl4";"halogenated aliphatics";"2";"questionable";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";""
"21";"Perfluoroalkoxy Resins";"";"perchloroethylene";"tetrachloroethene";"";"127-18-4";"C2Cl4";"halogenated aliphatics";"1";"recommended; weight gain; strength loss; steady state reached in one week exposure";"100";"32 – 225";"";"";"1, 22";"";"";"";"";"";"";"";"";"";""
