sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Tetrachloroethane";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"tetrachloroethane";"halogenated aliphatics";"2";"questionable";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"tetrachloroethane";"halogenated aliphatics";"2";"questionable";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"tetrachloroethane";"halogenated aliphatics";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Carbon-Graphite Composites";"tetrachloroethane";"halogenated aliphatics";"1";"recommended";"100";"70 – 296";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Cellulose Acetate";"tetrachloroethane";"halogenated aliphatics";"3";"not recommended; disintegrated";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Cellulose Acetate Butyrate";"tetrachloroethane";"halogenated aliphatics";"3";"not recommended; disintegrated";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Chlorosulfonated Polyethylene";"tetrachloroethane";"halogenated aliphatics";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Fluororubber";"tetrachloroethane";"halogenated aliphatics";"2";"questionable";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Furfuryl Alcohol Resin, Asbestos-Reinforced";"tetrachloroethane";"halogenated aliphatics";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"tetrachloroethane";"halogenated aliphatics";"1";"recommended";"100";"70 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Phenolic Resins, Asbestos-Reinforced";"tetrachloroethane";"halogenated aliphatics";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Phenolic Resins, Asbestos-Reinforced";"tetrachloroethane";"halogenated aliphatics";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Polychloroprene";"tetrachloroethane";"halogenated aliphatics";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Polyesters, Glass Fiber-Reinforced";"tetrachloroethane";"halogenated aliphatics";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Polyethylene (PE)";"tetrachloroethane";"halogenated aliphatics";"2";"questionable";"100";"70 – 125";"";"plasticizer";"1, 8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Rubber, Butyl (BR)";"tetrachloroethane";"halogenated aliphatics";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Rubber, Natural (NR)";"tetrachloroethane";"halogenated aliphatics";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Styrene Acrylonitrile Copolymer (SAN)";"tetrachloroethane";"halogenated aliphatics";"2";"questionable";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Styrene Acrylonitrile Copolymer (SAN)";"tetrachloroethane";"halogenated aliphatics";"3";"not recommended";"100";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Vinyl Ester Resins";"tetrachloroethane";"halogenated aliphatics";"1";"recommended";"100";"70 – 120";"";"";"7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
