sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Calcium hydroxide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"calcium hydroxide";"";"1305-62-0";"CaH2O2";"hydroxides";"1";"recommended";"5";"60 – 165";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"calcium hydroxide";"";"1305-62-0";"CaH2O2";"hydroxides";"1";"recommended";"100";"60 – 165";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Cellulose Acetate Butyrate";"";"calcium hydroxide";"";"1305-62-0";"CaH2O2";"hydroxides";"3";"not recommended";"10";"60 – 70";"<1";"saturated; weight gain";"1";"";"";"";"";"";"";"";"";"";"";""
"4";"Chlorinated Polyvinyl Chloride (CPVC)";"";"calcium hydroxide";"";"1305-62-0";"CaH2O2";"hydroxides";"1";"recommended";"100";"70 – 212";"";"";"1, 12";"";"";"";"";"";"";"";"";"";"";""
"5";"Chlorosulfonated Polyethylene";"";"calcium hydroxide";"";"1305-62-0";"CaH2O2";"hydroxides";"1";"recommended";">10";"70 – 150";"";"including slurries";"1";"";"";"";"";"";"";"";"";"";"";""
"6";"Concrete";"";"calcium hydroxide";"";"1305-62-0";"CaH2O2";"hydroxides";"1";"recommended";">70";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"7";"Epoxy Cements";"";"calcium hydroxide";"";"1305-62-0";"CaH2O2";"hydroxides";"1";"recommended";"50";"68";"<6";"";"5";"";"";"";"";"";"";"";"";"";"";""
"8";"Epoxy Cements";"";"calcium hydroxide";"";"1305-62-0";"CaH2O2";"hydroxides";"1";"recommended";"50";"140";"";"";"5";"";"";"";"";"";"";"";"";"";"";""
"9";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"";"calcium hydroxide";"";"1305-62-0";"CaH2O2";"hydroxides";"1";"recommended; over 3 years";">10";"75 – 200";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"10";"Epoxy Resin, Glass Fiber- Reinforced";"";"calcium hydroxide";"";"1305-62-0";"CaH2O2";"hydroxides";"1";"recommended";"10 – 50";"70 – 200";"";"";"1, 24";"";"";"";"";"";"";"";"";"";"";""
