sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Chromic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"chromic acid";"inorganic acids";"3";"not recommended";"10 – 50";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"chromic acid";"inorganic acids";"1";"recommended";"10";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"chromic acid";"inorganic acids";"3";"not recommended";"10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"chromic acid";"inorganic acids";"3";"not recommended";"10 – 50";"70 – 140";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"chromic acid";"inorganic acids";"3";"not recommended";"20";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"chromic acid";"inorganic acids";"2";"questionable";"30";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"chromic acid";"inorganic acids";"3";"not recommended";"40 – 50";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Carbon-Graphite Composites";"";"chromic acid";"inorganic acids";"1";"recommended";"10";"70 – 200";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Cellulose Acetate";"";"chromic acid";"inorganic acids";"3";"not recommended";"6";"70 – 85";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Cellulose Acetate";"";"chromic acid";"inorganic acids";"3";"not recommended; softened, ";"6";"85 – 100";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Cellulose Acetate Butyrate";"";"chromic acid";"inorganic acids";"3";"not recommended; weight gain, ";"6";"90 – 100";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"";"chromic acid";"inorganic acids";"1";"recommended";"<10";"190";"";"";"16";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"chromic acid";"inorganic acids";"1";"recommended";"<50";"135";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";"";"";"";""
