sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Sulfamic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"sulfamic acid";"saturated";"inorganic acids";"1";"recommended";"100";"160";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Epoxy Cements";"";"sulfamic acid";"";"inorganic acids";"1";"recommended";"17";"68";"<6";"";"5";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Epoxy Cements";"";"sulfamic acid";"";"inorganic acids";"2";"questionable";"17";"140";"";"";"5";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Epoxy Resin, Glass Fiber- Reinforced";"";"sulfamic acid";"";"inorganic acids";"1";"recommended";"20";"70 – 150";"";"";"1, 24";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"sulfamic acid";"";"inorganic acids";"1";"recommended";"100";"70 – 150";"";"cyclic immersion; immersed";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Polyesters, Glass Fiber-Reinforced";"";"sulfamic acid";"";"inorganic acids";"1";"recommended";"10 – 50";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Polypropylene (PP)";"";"sulfamic acid";"";"inorganic acids";"1";"recommended";"100";"60 – 175";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Polyvinyl Chloride (PVC)";"";"sulfamic acid";"";"inorganic acids";"1";"recommended";"20";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Vinyl Ester Resins";"";"sulfamic acid";"";"inorganic acids";"1";"recommended";"10 – 50";"70 – 150";"";"";"7";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
