sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Sulfuric acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";""
"201";"Vinyl Ester Resins";"";"sulfuric acid";"oil of vitriol";"";"7664-93-9";"H2O4S";"inorganic acids";"3";"not recommended";"93";"80";"";"";"7";"";"";"";"";"";"";"";"";"";""
"202";"Vinyl-Modified Polybutadiene";"";"sulfuric acid";"oil of vitriol";"";"7664-93-9";"H2O4S";"inorganic acids";"1";"recommended; weight gain";"60";"70 – 80";"<12";"";"1";"";"";"";"";"";"";"";"";"";""
"203";"Wood";"";"sulfuric acid";"oil of vitriol";"";"7664-93-9";"H2O4S";"inorganic acids";"1";"recommended; tanks; with hydrochloric acid; 2 to 12%; 5 to 36 years; pine, redwood";"10";"32 – 200";">12";"";"1";"";"";"";"";"";"";"";"";"";""
"204";"Acetal Resins (Polyoxymethylene)";"";"sulfuric acid";"oil of vitriol";"fuming";"7664-93-9";"H2O4S";"inorganic acids";"3";"not recommended";"10";"60 – 70";"";"+ sulfur trioxide";"1";"";"";"";"";"";"";"";"";"";""
"205";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"sulfuric acid";"oil of vitriol";"fuming";"7664-93-9";"H2O4S";"inorganic acids";"3";"not recommended";"10";"60 – 70";"";"also in vapors";"1";"";"";"";"";"";"";"";"";"";""
"206";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"sulfuric acid";"oil of vitriol";"fuming";"7664-93-9";"H2O4S";"inorganic acids";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"207";"Chlorosulfonated Polyethylene";"";"sulfuric acid";"oil of vitriol";"fuming";"7664-93-9";"H2O4S";"inorganic acids";"2";"questionable";"10 – 20";"60 – 70";"";"also in vapors";"1";"";"";"";"";"";"";"";"";"";""
"208";"Concrete";"";"sulfuric acid";"oil of vitriol";"fuming";"7664-93-9";"H2O4S";"inorganic acids";"3";"not recommended";">10";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"209";"Fluororubber";"";"sulfuric acid";"oil of vitriol";"fuming";"7664-93-9";"H2O4S";"inorganic acids";"1";"recommended";"10 – 20";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"210";"Fluororubber";"";"sulfuric acid";"oil of vitriol";"fuming";"7664-93-9";"H2O4S";"inorganic acids";"3";"not recommended";">10";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";""
"211";"Fluororubber";"";"sulfuric acid";"oil of vitriol";"fuming, vapor";"7664-93-9";"H2O4S";"inorganic acids";"1";"recommended";"20 – 40";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"212";"Fluororubber";"";"sulfuric acid";"oil of vitriol";"fuming, vapor";"7664-93-9";"H2O4S";"inorganic acids";"1";"recommended";"60 – 80";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"213";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"sulfuric acid";"oil of vitriol";"fuming";"7664-93-9";"H2O4S";"inorganic acids";"1";"recommended";"100";"70 – 80";">12";"";"1";"";"";"";"";"";"";"";"";"";""
"214";"Glass, Chemical";"";"sulfuric acid";"oil of vitriol";"fuming";"7664-93-9";"H2O4S";"inorganic acids";"1";"recommended";"100";"70 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";""
"215";"Nylon";"";"sulfuric acid";"oil of vitriol";"fuming";"7664-93-9";"H2O4S";"inorganic acids";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
