sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Magnesium nitrate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"magnesium nitrate";"";"10377-60-3";"MgN2O6";"salts";"1";"recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Chlorinated Polyvinyl Chloride (CPVC)";"magnesium nitrate";"";"10377-60-3";"MgN2O6";"salts";"1";"recommended";"100";"70 – 212";"";"1, 2";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"magnesium nitrate";"";"10377-60-3";"MgN2O6";"salts";"1";"recommended; over 3 years";">10";"50 – 250";">12";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Epoxy Resin, Glass Fiber- Reinforced";"magnesium nitrate";"";"10377-60-3";"MgN2O6";"salts";"1";"recommended";"20";"70 – 225";"";"1, 19";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Epoxy Resin, Glass Fiber- Reinforced";"magnesium nitrate";"saturated";"10377-60-3";"MgN2O6";"salts";"1";"recommended";"100";"70 – 250";"";"1, 19";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"magnesium nitrate";"";"10377-60-3";"MgN2O6";"salts";"1";"recommended";"100";"70 – 200";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Glassed Steel";"magnesium nitrate";"";"10377-60-3";"MgN2O6";"salts";"1";"recommended; questionable ";">10";"50 – 250";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Polyethylene (PE)";"magnesium nitrate";"saturated";"10377-60-3";"MgN2O6";"salts";"1";"recommended";"100";"70 – 150";"";"1, 21";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Polymethyl Methacrylate (PMMA)";"magnesium nitrate";"";"10377-60-3";"MgN2O6";"salts";"1";"recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Polypropylene (PP)";"magnesium nitrate";"";"10377-60-3";"MgN2O6";"salts";"1";"recommended";">10";"60 – 150";"<6";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Polypropylene (PP)";"magnesium nitrate";"";"10377-60-3";"MgN2O6";"salts";"1";"recommended";"100";"60 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Polyvinyl Chloride (PVC)";"magnesium nitrate";"";"10377-60-3";"MgN2O6";"salts";"1";"recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Polyvinylidene Fluoride (PVDF)";"magnesium nitrate";"";"10377-60-3";"MgN2O6";"salts";"1";"recommended";"100";"70 – 275";"";"1, 23";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
