sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Silver nitrate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"silver nitrate";"7761-88-8";"AgNO3";"salts";"1";"recommended";"<8";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Acetal Resins (Polyoxymethylene)";"";"silver nitrate";"7761-88-8";"AgNO3";"salts";"2";"questionable";"8";"150 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Acetal Resins (Polyoxymethylene)";"";"silver nitrate";"7761-88-8";"AgNO3";"salts";"3";"not recommended";"8";"175 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"silver nitrate";"7761-88-8";"AgNO3";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Cellulose Acetate";"";"silver nitrate";"7761-88-8";"AgNO3";"salts";"3";"not recommended; weight gain, softened";"3";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Cellulose Acetate Butyrate";"";"silver nitrate";"7761-88-8";"AgNO3";"salts";"2";"questionable; weight gain";"";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"silver nitrate";"7761-88-8";"AgNO3";"salts";"1";"recommended";"<25";"200";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"";"silver nitrate";"7761-88-8";"AgNO3";"salts";"1";"recommended";"100";"175";"";"";"16";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"silver nitrate";"7761-88-8";"AgNO3";"salts";"1";"recommended";"<25";"200";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"";"silver nitrate";"7761-88-8";"AgNO3";"salts";"1";"recommended";"100";"150";"";"";"16";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Chlorinated Polyvinyl Chloride (CPVC)";"";"silver nitrate";"7761-88-8";"AgNO3";"salts";"1";"recommended";"100";"70 – 212";"";"";"1, 12";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Chlorosulfonated Polyethylene";"";"silver nitrate";"7761-88-8";"AgNO3";"salts";"1";"recommended";"<8";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"";"silver nitrate";"7761-88-8";"AgNO3";"salts";"1";"recommended; over 3 years";">10";"75 – 212";">12";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Epoxy Resin, Glass Fiber- Reinforced";"";"silver nitrate";"7761-88-8";"AgNO3";"salts";"1";"recommended";"5 – 10";"70 – 150";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Epoxy Resin, Glass Fiber- Reinforced";"";"silver nitrate";"7761-88-8";"AgNO3";"salts";"1";"recommended";"100";"70 – 200";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Fluororubber";"";"silver nitrate";"7761-88-8";"AgNO3";"salts";"1";"recommended";"<8";"70 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Fluororubber";"";"silver nitrate";"7761-88-8";"AgNO3";"salts";"2";"questionable";"8";"175 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"silver nitrate";"7761-88-8";"AgNO3";"salts";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
