sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Sodium nitrate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"sodium nitrate";"chile saltpeter";"";"7631-99-4";"NNaO3";"salts";"1";"recommended";"10 – 90";"60 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"sodium nitrate";"chile saltpeter";"";"7631-99-4";"NNaO3";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"3";"Cellulose Acetate";"";"sodium nitrate";"chile saltpeter";"";"7631-99-4";"NNaO3";"salts";"1";"recommended";"10";"60 – 70";"[>12]";"";"1";"";"";"";"";"";"";"";"";"";""
"4";"Cellulose Acetate";"";"sodium nitrate";"chile saltpeter";"";"7631-99-4";"NNaO3";"salts";"2";"questionable";"90";"60 – 70";"[";"";"1";"";"";"";"";"";"";"";"";"";""
"5";"Cellulose Acetate";"";"sodium nitrate";"chile saltpeter";"";"7631-99-4";"NNaO3";"salts";"1";"recommended";"100";"60 – 70";"[";"";"1";"";"";"";"";"";"";"";"";"";""
"6";"Cellulose Acetate Butyrate";"";"sodium nitrate";"chile saltpeter";"";"7631-99-4";"NNaO3";"salts";"2";"questionable; weight gain";"10";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";""
"7";"Cellulose Acetate Butyrate";"";"sodium nitrate";"chile saltpeter";"saturated";"7631-99-4";"NNaO3";"salts";"1";"recommended";"90";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"8";"Cellulose Acetate Butyrate";"";"sodium nitrate";"chile saltpeter";"";"7631-99-4";"NNaO3";"salts";"1";"recommended";">90";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"9";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"sodium nitrate";"chile saltpeter";"";"7631-99-4";"NNaO3";"salts";"1";"recommended";"any";"250";"<6";"";"16";"";"";"";"";"";"";"";"";"";""
"10";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"sodium nitrate";"chile saltpeter";"";"7631-99-4";"NNaO3";"salts";"1";"recommended";"any";"250";"<6";"";"16";"";"";"";"";"";"";"";"";"";""
"11";"Chlorinated Polyvinyl Chloride (CPVC)";"";"sodium nitrate";"chile saltpeter";"";"7631-99-4";"NNaO3";"salts";"1";"recommended";"100";"70 – 212";"";"";"1, 12";"";"";"";"";"";"";"";"";"";""
"12";"Chlorosulfonated Polyethylene";"";"sodium nitrate";"chile saltpeter";"saturated";"7631-99-4";"NNaO3";"salts";"1";"recommended";"90";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"13";"Concrete";"";"sodium nitrate";"chile saltpeter";"";"7631-99-4";"NNaO3";"salts";"1";"recommended";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"14";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"";"sodium nitrate";"chile saltpeter";"";"7631-99-4";"NNaO3";"salts";"1";"recommended; over 3 years";">10";"50 – 275";">12";"";"1";"";"";"";"";"";"";"";"";"";""
"15";"Epoxy Resin, Glass Fiber- Reinforced";"";"sodium nitrate";"chile saltpeter";"";"7631-99-4";"NNaO3";"salts";"1";"recommended";"10 – 90";"70 – 212";"";"";"1, 19";"";"";"";"";"";"";"";"";"";""
"16";"Epoxy Resin, Glass Fiber- Reinforced";"";"sodium nitrate";"chile saltpeter";"saturated";"7631-99-4";"NNaO3";"salts";"1";"recommended";"100";"70 – 250";"";"";"1, 19";"";"";"";"";"";"";"";"";"";""
"17";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"Teflon; Hostaflon; Fluon";"sodium nitrate";"chile saltpeter";"";"7631-99-4";"NNaO3";"salts";"1";"recommended";"any";"250 – 400";">12";"";"10";"";"";"";"";"";"";"";"";"";""
"18";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"sodium nitrate";"chile saltpeter";"";"7631-99-4";"NNaO3";"salts";"1";"recommended";"100";"70 – 150";"";"cyclic immersion; immersed";"1";"";"";"";"";"";"";"";"";"";""
"19";"Fluororubber";"";"sodium nitrate";"chile saltpeter";"";"7631-99-4";"NNaO3";"salts";"1";"recommended";"10 – 90";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"20";"Fluororubber";"";"sodium nitrate";"chile saltpeter";"saturated";"7631-99-4";"NNaO3";"salts";"1";"recommended";"90";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"21";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"sodium nitrate";"chile saltpeter";"";"7631-99-4";"NNaO3";"salts";"1";"recommended";"100";"70 – 200";"";"";"1";"";"";"";"";"";"";"";"";"";""
"22";"Glass, Chemical";"";"sodium nitrate";"chile saltpeter";"";"7631-99-4";"NNaO3";"salts";"1";"recommended";">10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
