sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Butadiene";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"butadiene";"";"olefins";"1";"recommended";"50";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Acetal Resins (Polyoxymethylene)";"";"butadiene";"";"olefins";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"butadiene";"";"olefins";"1";"recommended";"50";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"butadiene";"gas";"olefins";"2";"questionable";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"butadiene";"gas";"olefins";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"butadiene";"";"olefins";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Cellulose Acetate";"";"butadiene";"gas, liquid";"olefins";"1";"recommended; swollen";"100";"32 – 55";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Cellulose Acetate";"";"butadiene";"gas";"olefins";"3";"not recommended; >12 months, warped, weight loss";"100";"55 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Cellulose Acetate";"";"butadiene";"gas";"olefins";"3";"not recommended";"100";"70 – 80";"";"weight gain";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Chlorinated Polyvinyl Chloride (CPVC)";"";"butadiene";"";"olefins";"1";"recommended";"100";"70 – 150";"";"";"1, 2";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Chlorosulfonated Polyethylene";"";"butadiene";"";"olefins";"2";"questionable";"50";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Chlorosulfonated Polyethylene";"";"butadiene";"";"olefins";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Epoxy Resin, Glass Fiber- Reinforced";"";"butadiene";"";"olefins";"1";"recommended";"100";"70 – 100";"";"";"1, 24";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Epoxy Resin, Glass Fiber- Reinforced";"";"butadiene";"";"olefins";"2";"questionable";"100";"100 – 150";"";"";"1, 24";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"Teflon; Hostaflon; Fluon";"butadiene";"";"olefins";"3";"not recommended";"any";"0 – 400";">12";"maximum use temperature for gaskets 93°C (200°F)";"10";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Fluororubber";"";"butadiene";"";"olefins";"1";"recommended";"50";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Fluororubber";"";"butadiene";"";"olefins";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Polychloroprene";"";"butadiene";"";"olefins";"1";"recommended";"50";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Polychloroprene";"";"butadiene";"";"olefins";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Polyethylene (PE)";"";"butadiene";"";"olefins";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Polyvinyl Chloride (PVC)";"";"butadiene";"";"olefins";"2";"questionable";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Polyvinyl Chloride (PVC)";"";"butadiene";"";"olefins";"3";"not recommended";"100";"80 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Polyvinylidene Chloride (PVDC)";"Saran brand resin";"butadiene";"";"olefins";"1";"recommended";"100";"150";"";"";"6";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Polyvinylidene Fluoride (PVDF)";"Kynar";"butadiene";"";"olefins";"1";"recommended";"100";"70 – 250";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Polyvinylidene Fluoride (PVDF)";"";"butadiene";"";"olefins";"2";"questionable";"100";"250 – 285";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Rubber, Butyl (BR)";"";"butadiene";"";"olefins";"3";"not recommended";"50";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Rubber, Butyl (BR)";"";"butadiene";"";"olefins";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Rubber, Natural (NR)";"";"butadiene";"";"olefins";"3";"not recommended";"50";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Rubber, Natural (NR)";"";"butadiene";"";"olefins";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
