sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Acetic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";""
"51";"Epoxy Cements";"";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"1";"recommended";"3";"140";"";"";"5";"";"";"";"";"";"";"";"";"";""
"52";"Epoxy Cements";"";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"3";"not recommended";"10";"68";"";"";"5";"";"";"";"";"";"";"";"";"";""
"53";"Epoxy Cements";"";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"3";"not recommended";"10";"140";"";"";"5";"";"";"";"";"";"";"";"";"";""
"54";"Epoxy Cements";"";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"3";"not recommended";"80";"68";"";"";"5";"";"";"";"";"";"";"";"";"";""
"55";"Epoxy Cements";"";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"3";"not recommended";"80";"140";"";"";"5";"";"";"";"";"";"";"";"";"";""
"56";"Epoxy Cements";"";"acetic acid";"ethanoic acid";"glacial";"64-19-7";"C2H4O2";"organic (weak) acids";"3";"not recommended";"100";"68";"";"";"5";"";"";"";"";"";"";"";"";"";""
"57";"Epoxy Cements";"";"acetic acid";"ethanoic acid";"glacial";"64-19-7";"C2H4O2";"organic (weak) acids";"3";"not recommended";"100";"140";"";"";"5";"";"";"";"";"";"";"";"";"";""
"58";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"1";"recommended";"10";"50 – 150";">12";"";"1";"";"";"";"";"";"";"";"";"";""
"59";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"2";"questionable";"10";"150 – 200";"";"";"1";"";"";"";"";"";"";"";"";"";""
"60";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"3";"not recommended";"10";"200 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";""
"61";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"2";"questionable";">20";"50 – 140";"";"";"1";"";"";"";"";"";"";"";"";"";""
"62";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"3";"not recommended";">20";"140 – 300";"";"";"1";"";"";"";"";"";"";"";"";"";""
"63";"Epoxy Resin, Glass Fiber- Reinforced";"";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"1";"recommended";"10";"100 – 200";"";"aromatic amine cured epoxy";"1, 19";"";"";"";"";"";"";"";"";"";""
"64";"Epoxy Resin, Glass Fiber- Reinforced";"";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"1";"recommended";"10 – 50";"70 – 120";"";"aromatic amine cured epoxy";"1, 19";"";"";"";"";"";"";"";"";"";""
"65";"Epoxy Resin, Glass Fiber- Reinforced";"";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"1";"recommended";"20";"100 – 150";"";"";"1, 19";"";"";"";"";"";"";"";"";"";""
"66";"Epoxy Resin, Glass Fiber- Reinforced";"";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"1";"recommended";"50";"120";"";"aromatic amine cured epoxy";"1, 19";"";"";"";"";"";"";"";"";"";""
"67";"Epoxy Resin, Glass Fiber- Reinforced";"";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"1";"recommended";"75 – 80";"70 – 120";"";"aromatic amine cured epoxy";"1, 19";"";"";"";"";"";"";"";"";"";""
