sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Dichloroacetic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"dichloroacetic acid";"79-43-6";"C2H2Cl2O2";"organic (weak) acids";"3";"not recommended";"50";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Acetal Resins (Polyoxymethylene)";"";"dichloroacetic acid";"79-43-6";"C2H2Cl2O2";"organic (weak) acids";"3";"not recommended";"100";"60 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"dichloroacetic acid";"79-43-6";"C2H2Cl2O2";"organic (weak) acids";"2";"questionable";"50";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"dichloroacetic acid";"79-43-6";"C2H2Cl2O2";"organic (weak) acids";"2";"questionable";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Chlorosulfonated Polyethylene";"";"dichloroacetic acid";"79-43-6";"C2H2Cl2O2";"organic (weak) acids";"1";"recommended";"50";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Chlorosulfonated Polyethylene";"";"dichloroacetic acid";"79-43-6";"C2H2Cl2O2";"organic (weak) acids";"1";"recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"Teflon; Hostaflon; Fluon";"dichloroacetic acid";"79-43-6";"C2H2Cl2O2";"organic (weak) acids";"1";"recommended; do not use over 135°C (275°F) in contact with glass-lined equipment";"100";"250 – 275";">12";"10";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Fluororubber";"";"dichloroacetic acid";"79-43-6";"C2H2Cl2O2";"organic (weak) acids";"1";"recommended";"50";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Fluororubber";"";"dichloroacetic acid";"79-43-6";"C2H2Cl2O2";"organic (weak) acids";"2";"questionable";"50";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Fluororubber";"";"dichloroacetic acid";"79-43-6";"C2H2Cl2O2";"organic (weak) acids";"2";"questionable";"100";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Fluororubber";"";"dichloroacetic acid";"79-43-6";"C2H2Cl2O2";"organic (weak) acids";"3";"not recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"dichloroacetic acid";"79-43-6";"C2H2Cl2O2";"organic (weak) acids";"1";"recommended";"100";"70 – 80";">12";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Polychloroprene";"";"dichloroacetic acid";"79-43-6";"C2H2Cl2O2";"organic (weak) acids";"1";"recommended";"50";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Polychloroprene";"";"dichloroacetic acid";"79-43-6";"C2H2Cl2O2";"organic (weak) acids";"2";"questionable";"50";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Polychloroprene";"";"dichloroacetic acid";"79-43-6";"C2H2Cl2O2";"organic (weak) acids";"2";"questionable";"100";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Polychloroprene";"";"dichloroacetic acid";"79-43-6";"C2H2Cl2O2";"organic (weak) acids";"3";"not recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Rubber, Butyl (BR)";"";"dichloroacetic acid";"79-43-6";"C2H2Cl2O2";"organic (weak) acids";"1";"recommended";"50";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Rubber, Butyl (BR)";"";"dichloroacetic acid";"79-43-6";"C2H2Cl2O2";"organic (weak) acids";"1";"recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Rubber, Natural (NR)";"";"dichloroacetic acid";"79-43-6";"C2H2Cl2O2";"organic (weak) acids";"3";"not recommended";"50";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Rubber, Natural (NR)";"";"dichloroacetic acid";"79-43-6";"C2H2Cl2O2";"organic (weak) acids";"3";"not recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
