sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ethylenediaminetetraacetic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"ethylenediaminetetraacetic acid";"edetic acid";"1960-11-04";"C10H16N2O8";"organic (weak) acids";"1";"recommended";"35";"25";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"2";"Glass, Chemical";"";"ethylenediaminetetraacetic acid";"edetic acid";"1960-11-04";"C10H16N2O8";"organic (weak) acids";"3";"not recommended";"100";"60 – 70";"";"sodium barium borosilicate glass; attack rates comparable to those of strong alkalis";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Polyesters, Glass Fiber-Reinforced";"";"ethylenediaminetetraacetic acid";"edetic acid";"1960-11-04";"C10H16N2O8";"organic (weak) acids";"1";"recommended";"40";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"4";"Vinyl Ester Resins";"";"ethylenediaminetetraacetic acid";"edetic acid";"1960-11-04";"C10H16N2O8";"organic (weak) acids";"1";"recommended";"40";"60 – 70";"";"";"7";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
