sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Oleic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"oleic acid";"cis-9-octadecenoic acid";"";"112-80-1";"C18H34O2";"organic (weak) acids";"2";"questionable";"100";"70 – 150";"<6";"";"1";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"oleic acid";"cis-9-octadecenoic acid";"";"112-80-1";"C18H34O2";"organic (weak) acids";"1";"recommended";"100";"60 – 165";"";"";"1";"";"";"";"";"";"";"";"";"";""
"3";"Carbon-Graphite Composites";"";"oleic acid";"cis-9-octadecenoic acid";"";"112-80-1";"C18H34O2";"organic (weak) acids";"1";"recommended";"10";"70 – 338";"";"";"1";"";"";"";"";"";"";"";"";"";""
"4";"Carbon-Graphite Composites";"";"oleic acid";"cis-9-octadecenoic acid";"";"112-80-1";"C18H34O2";"organic (weak) acids";"1";"recommended";"100";"70 – 338";"";"";"1";"";"";"";"";"";"";"";"";"";""
"5";"Cellulose Acetate";"";"oleic acid";"cis-9-octadecenoic acid";"";"112-80-1";"C18H34O2";"organic (weak) acids";"1";"recommended";"100";"60 – 70";">12";"";"1";"";"";"";"";"";"";"";"";"";""
"6";"Cellulose Acetate Butyrate";"";"oleic acid";"cis-9-octadecenoic acid";"";"112-80-1";"C18H34O2";"organic (weak) acids";"1";"recommended";"100";"60 – 70";">12";"";"1";"";"";"";"";"";"";"";"";"";""
"7";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"oleic acid";"cis-9-octadecenoic acid";"";"112-80-1";"C18H34O2";"organic (weak) acids";"1";"recommended";"100";"250";"<6";"";"16";"";"";"";"";"";"";"";"";"";""
"8";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"oleic acid";"cis-9-octadecenoic acid";"";"112-80-1";"C18H34O2";"organic (weak) acids";"1";"recommended";"100";"250";"<6";"";"16";"";"";"";"";"";"";"";"";"";""
"9";"Chlorinated Polyvinyl Chloride (CPVC)";"";"oleic acid";"cis-9-octadecenoic acid";"";"112-80-1";"C18H34O2";"organic (weak) acids";"1";"recommended";"100";"70 – 212";"";"";"1, 2";"";"";"";"";"";"";"";"";"";""
"10";"Chlorosulfonated Polyethylene";"";"oleic acid";"cis-9-octadecenoic acid";"";"112-80-1";"C18H34O2";"organic (weak) acids";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"11";"Concrete";"";"oleic acid";"cis-9-octadecenoic acid";"";"112-80-1";"C18H34O2";"organic (weak) acids";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"12";"Epoxy Resin, Glass Fiber- Reinforced";"";"oleic acid";"cis-9-octadecenoic acid";"";"112-80-1";"C18H34O2";"organic (weak) acids";"1";"recommended";"100";"70 – 225";"";"";"1, 19";"";"";"";"";"";"";"";"";"";""
"13";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"oleic acid";"cis-9-octadecenoic acid";"";"112-80-1";"C18H34O2";"organic (weak) acids";"1";"recommended";"100";"70 – 150";"";"cyclic immersion; immersed";"1";"";"";"";"";"";"";"";"";"";""
"14";"Fluororubber";"";"oleic acid";"cis-9-octadecenoic acid";"";"112-80-1";"C18H34O2";"organic (weak) acids";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"15";"Furfuryl Alcohol Resin, Asbestos-Reinforced";"";"oleic acid";"cis-9-octadecenoic acid";"";"112-80-1";"C18H34O2";"organic (weak) acids";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";""
"16";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"oleic acid";"cis-9-octadecenoic acid";"";"112-80-1";"C18H34O2";"organic (weak) acids";"1";"recommended";"10";"70 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";""
"17";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"oleic acid";"cis-9-octadecenoic acid";"";"112-80-1";"C18H34O2";"organic (weak) acids";"1";"recommended";"100";"70 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";""
"18";"Glass, Chemical";"";"oleic acid";"cis-9-octadecenoic acid";"";"112-80-1";"C18H34O2";"organic (weak) acids";"1";"recommended";"70";"70 – 662";"";"";"1";"";"";"";"";"";"";"";"";"";""
"19";"Nylon";"";"oleic acid";"cis-9-octadecenoic acid";"";"112-80-1";"C18H34O2";"organic (weak) acids";"1";"recommended; swollen";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";""
"20";"Phenolic Resins, Asbestos-Reinforced";"";"oleic acid";"cis-9-octadecenoic acid";"";"112-80-1";"C18H34O2";"organic (weak) acids";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"21";"Phenolic Resins, Asbestos-Reinforced";"";"oleic acid";"cis-9-octadecenoic acid";"";"112-80-1";"C18H34O2";"organic (weak) acids";"1";"recommended";"100";"70 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";""
"22";"Polychloroprene";"";"oleic acid";"cis-9-octadecenoic acid";"";"112-80-1";"C18H34O2";"organic (weak) acids";"2";"questionable; swollen";"90";"70 – 150";"<1";"";"1";"";"";"";"";"";"";"";"";"";""
"23";"Polyesters, Glass Fiber-Reinforced";"";"oleic acid";"cis-9-octadecenoic acid";"";"112-80-1";"C18H34O2";"organic (weak) acids";"1";"recommended";"100";"70 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";""
