sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Phthalic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"phthalic acid";"";"88-99-3";"C8H6O4";"organic (weak) acids";"2";"questionable";"50";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"phthalic acid";"";"88-99-3";"C8H6O4";"organic (weak) acids";"1";"recommended";"50";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Chlorosulfonated Polyethylene";"phthalic acid";"";"88-99-3";"C8H6O4";"organic (weak) acids";"1";"recommended";"50";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"phthalic acid";"";"88-99-3";"C8H6O4";"organic (weak) acids";"1";"recommended; wets";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Fluororubber";"phthalic acid";"";"88-99-3";"C8H6O4";"organic (weak) acids";"1";"recommended";"50";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"phthalic acid";"";"88-99-3";"C8H6O4";"organic (weak) acids";"1";"recommended";"10";"70 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Glass, Chemical";"phthalic acid";"";"88-99-3";"C8H6O4";"organic (weak) acids";"1";"recommended";"100";"70 – 250";"";"or anhydride";"1";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Nylon";"phthalic acid";"saturated";"88-99-3";"C8H6O4";"organic (weak) acids";"2";"questionable";"10";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Polychloroprene";"phthalic acid";"";"88-99-3";"C8H6O4";"organic (weak) acids";"1";"recommended";"50";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Polyesters, Glass Fiber-Reinforced";"phthalic acid";"";"88-99-3";"C8H6O4";"organic (weak) acids";"1";"recommended";"10";"70 – 200";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Polyethylene (PE)";"phthalic acid";"";"88-99-3";"C8H6O4";"organic (weak) acids";"1";"recommended";"100";"60 – 70";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Polyethylene (PE)";"phthalic acid";"";"88-99-3";"C8H6O4";"organic (weak) acids";"2";"questionable";"100";"70 – 125";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Polypropylene (PP)";"phthalic acid";"";"88-99-3";"C8H6O4";"organic (weak) acids";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Polyvinylidene Fluoride (PVDF)";"phthalic acid";"";"88-99-3";"C8H6O4";"organic (weak) acids";"1";"recommended";"100";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Rubber, Butyl (BR)";"phthalic acid";"";"88-99-3";"C8H6O4";"organic (weak) acids";"1";"recommended";"50";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Rubber, Natural (NR)";"phthalic acid";"";"88-99-3";"C8H6O4";"organic (weak) acids";"3";"not recommended";"50";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Wood";"phthalic acid";"";"88-99-3";"C8H6O4";"organic (weak) acids";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
