sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Picric acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"picric acid";"2,4,6-trinitrophenol";"88-89-1";"C6H3N3O7";"organic (weak) acids";"1";"recommended";"1";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"picric acid";"2,4,6-trinitrophenol";"88-89-1";"C6H3N3O7";"organic (weak) acids";"1";"recommended";"10";"60 – 165";"";"in alcohol, also 1% aqueous solutions 16-21°C (60-70°F)";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"picric acid";"2,4,6-trinitrophenol";"88-89-1";"C6H3N3O7";"organic (weak) acids";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"4";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"picric acid";"2,4,6-trinitrophenol";"88-89-1";"C6H3N3O7";"organic (weak) acids";"1";"recommended";"10";"100";"<6";"in alcohol";"16";"";"";"";"";"";"";"";"";"";"";""
"5";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"picric acid";"2,4,6-trinitrophenol";"88-89-1";"C6H3N3O7";"organic (weak) acids";"1";"recommended";"10";"100";"<6";"in alcohol";"16";"";"";"";"";"";"";"";"";"";"";""
"6";"Chlorosulfonated Polyethylene";"";"picric acid";"2,4,6-trinitrophenol";"88-89-1";"C6H3N3O7";"organic (weak) acids";"1";"recommended";"1";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"7";"Chlorosulfonated Polyethylene";"";"picric acid";"2,4,6-trinitrophenol";"88-89-1";"C6H3N3O7";"organic (weak) acids";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"8";"Epoxy Cements";"";"picric acid";"2,4,6-trinitrophenol";"88-89-1";"C6H3N3O7";"organic (weak) acids";"1";"recommended";"50";"68";"<6";"";"5";"";"";"";"";"";"";"";"";"";"";""
"9";"Epoxy Cements";"";"picric acid";"2,4,6-trinitrophenol";"88-89-1";"C6H3N3O7";"organic (weak) acids";"2";"questionable";"50";"140";"";"";"5";"";"";"";"";"";"";"";"";"";"";""
"10";"Epoxy Resin, Glass Fiber- Reinforced";"";"picric acid";"2,4,6-trinitrophenol";"88-89-1";"C6H3N3O7";"organic (weak) acids";"1";"recommended; recommended for alcoholic solutions ";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
