sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Hydrogen peroxide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"hydrogen peroxide";"";"7722-84-1";"H2O2";"oxidizing agents";"1";"recommended";"10 – 20";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Acetal Resins (Polyoxymethylene)";"";"hydrogen peroxide";"";"7722-84-1";"H2O2";"oxidizing agents";"1";"recommended; 3% produces no change, >12 months";"10 – 30";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Acetal Resins (Polyoxymethylene)";"";"hydrogen peroxide";"";"7722-84-1";"H2O2";"oxidizing agents";"1";"recommended";"90";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"4";"Acetal Resins (Polyoxymethylene)";"";"hydrogen peroxide";"";"7722-84-1";"H2O2";"oxidizing agents";"3";"not recommended";"90";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"5";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"hydrogen peroxide";"";"7722-84-1";"H2O2";"oxidizing agents";"3";"not recommended; 3% recommended";"10 – 20";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"6";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"hydrogen peroxide";"";"7722-84-1";"H2O2";"oxidizing agents";"3";"not recommended";"30";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"7";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"hydrogen peroxide";"";"7722-84-1";"H2O2";"oxidizing agents";"3";"not recommended";"90";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"8";"Cellulose Acetate";"";"hydrogen peroxide";"";"7722-84-1";"H2O2";"oxidizing agents";"3";"not recommended; discolored; softened; weight gain";"3";"60 – 70";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"9";"Cellulose Acetate Butyrate";"";"hydrogen peroxide";"";"7722-84-1";"H2O2";"oxidizing agents";"1";"recommended; weight gain";"3 – 5";"60 – 70";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"10";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"hydrogen peroxide";"vapor & condensate";"7722-84-1";"H2O2";"oxidizing agents";"1";"recommended";"5";"120";"";"";"16";"";"";"";"";"";"";"";"";"";"";""
"11";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"hydrogen peroxide";"";"7722-84-1";"H2O2";"oxidizing agents";"1";"recommended";"5";"125";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"12";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"";"hydrogen peroxide";"";"7722-84-1";"H2O2";"oxidizing agents";"1";"recommended";"5";"212";"";"";"16";"";"";"";"";"";"";"";"";"";"";""
"13";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"";"hydrogen peroxide";"";"7722-84-1";"H2O2";"oxidizing agents";"1";"recommended";"36";"90";"";"";"16";"";"";"";"";"";"";"";"";"";"";""
"14";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"";"hydrogen peroxide";"";"7722-84-1";"H2O2";"oxidizing agents";"1";"recommended";"50";"100";"";"";"16";"";"";"";"";"";"";"";"";"";"";""
"15";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"hydrogen peroxide";"";"7722-84-1";"H2O2";"oxidizing agents";"1";"recommended";"";"70";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"16";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"";"hydrogen peroxide";"";"7722-84-1";"H2O2";"oxidizing agents";"1";"recommended";"";"110";"";"";"16";"";"";"";"";"";"";"";"";"";"";""
"17";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"hydrogen peroxide";"vapor & condensate";"7722-84-1";"H2O2";"oxidizing agents";"1";"recommended";"5";"115";"";"";"16";"";"";"";"";"";"";"";"";"";"";""
"18";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"";"hydrogen peroxide";"";"7722-84-1";"H2O2";"oxidizing agents";"1";"recommended";"35";"70";"";"";"16";"";"";"";"";"";"";"";"";"";"";""
"19";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"";"hydrogen peroxide";"";"7722-84-1";"H2O2";"oxidizing agents";"1";"recommended";"35";"110";"";"";"16";"";"";"";"";"";"";"";"";"";"";""
"20";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"";"hydrogen peroxide";"";"7722-84-1";"H2O2";"oxidizing agents";"1";"recommended";"50";"100";"";"";"16";"";"";"";"";"";"";"";"";"";"";""
"21";"Chlorosulfonated Polyethylene";"";"hydrogen peroxide";"";"7722-84-1";"H2O2";"oxidizing agents";"1";"recommended";"10 – 20";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"22";"Chlorosulfonated Polyethylene";"";"hydrogen peroxide";"";"7722-84-1";"H2O2";"oxidizing agents";"1";"recommended";"10 – 30";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"23";"Chlorosulfonated Polyethylene";"";"hydrogen peroxide";"";"7722-84-1";"H2O2";"oxidizing agents";"1";"recommended";"88.5";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"24";"Epoxy Cements";"";"hydrogen peroxide";"";"7722-84-1";"H2O2";"oxidizing agents";"1";"recommended";"1";"68";"<6";"";"5";"";"";"";"";"";"";"";"";"";"";""
"25";"Epoxy Cements";"";"hydrogen peroxide";"";"7722-84-1";"H2O2";"oxidizing agents";"3";"not recommended";"1";"140";"";"";"5";"";"";"";"";"";"";"";"";"";"";""
"26";"Epoxy Cements";"";"hydrogen peroxide";"";"7722-84-1";"H2O2";"oxidizing agents";"2";"questionable";"10";"68";"";"";"5";"";"";"";"";"";"";"";"";"";"";""
"27";"Epoxy Cements";"";"hydrogen peroxide";"";"7722-84-1";"H2O2";"oxidizing agents";"3";"not recommended";"10";"140";"";"";"5";"";"";"";"";"";"";"";"";"";"";""
"28";"Epoxy Cements";"";"hydrogen peroxide";"";"7722-84-1";"H2O2";"oxidizing agents";"3";"not recommended";"25";"68";"";"";"5";"";"";"";"";"";"";"";"";"";"";""
"29";"Epoxy Cements";"";"hydrogen peroxide";"";"7722-84-1";"H2O2";"oxidizing agents";"3";"not recommended";"25";"140";"";"";"5";"";"";"";"";"";"";"";"";"";"";""
"30";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"";"hydrogen peroxide";"";"7722-84-1";"H2O2";"oxidizing agents";"3";"not recommended";"any";"0 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"31";"Epoxy Resin, Glass Fiber- Reinforced";"";"hydrogen peroxide";"";"7722-84-1";"H2O2";"oxidizing agents";"3";"not recommended";"10";"75";"";"";"19";"";"";"";"";"";"";"";"";"";"";""
"32";"Epoxy Resin, Glass Fiber- Reinforced";"";"hydrogen peroxide";"";"7722-84-1";"H2O2";"oxidizing agents";"3";"not recommended";"28";"75";"";"";"19";"";"";"";"";"";"";"";"";"";"";""
"33";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"Teflon; Hostaflon; Fluon";"hydrogen peroxide";"";"7722-84-1";"H2O2";"oxidizing agents";"1";"recommended";"<50";"250";"[>12]";"";"1, 10, 22";"";"";"";"";"";"";"";"";"";"";""
"34";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"";"hydrogen peroxide";"";"7722-84-1";"H2O2";"oxidizing agents";"1";"recommended; steady state reached in one week exposure";"30";"60 – 70";"[";"";"1, 10, 22";"";"";"";"";"";"";"";"";"";"";""
"35";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"hydrogen peroxide";"";"7722-84-1";"H2O2";"oxidizing agents";"1";"recommended";">20";"70 – 150";"";"cyclic immersion; immersed";"1, 22";"";"";"";"";"";"";"";"";"";"";""
"36";"Fluororubber";"";"hydrogen peroxide";"";"7722-84-1";"H2O2";"oxidizing agents";"1";"recommended";"10 – 20";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
