sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Potassium permanganate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"potassium permanganate";"";"7722-64-7";"KMnO4";"oxidizing agents";"1";"recommended";"<6";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Acetal Resins (Polyoxymethylene)";"";"potassium permanganate";"";"7722-64-7";"KMnO4";"oxidizing agents";"1";"recommended";"<18";"70 – 100";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"potassium permanganate";"";"7722-64-7";"KMnO4";"oxidizing agents";"3";"not recommended";"10 – 20";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"4";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"potassium permanganate";"";"7722-64-7";"KMnO4";"oxidizing agents";"3";"not recommended; weight gain >12 months";"20";"70 – 135";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"5";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"potassium permanganate";"";"7722-64-7";"KMnO4";"oxidizing agents";"3";"not recommended; discolored, ";"20";"135 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"6";"Cellulose Acetate";"";"potassium permanganate";"";"7722-64-7";"KMnO4";"oxidizing agents";"3";"not recommended";"10";"60 – 70";"<1";"saturated; discolored; weight gain";"1";"";"";"";"";"";"";"";"";"";"";""
"7";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"potassium permanganate";"";"7722-64-7";"KMnO4";"oxidizing agents";"1";"recommended";"any";"150";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"8";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"potassium permanganate";"";"7722-64-7";"KMnO4";"oxidizing agents";"1";"recommended";"any";"150";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"9";"Chlorinated Polyvinyl Chloride (CPVC)";"";"potassium permanganate";"";"7722-64-7";"KMnO4";"oxidizing agents";"1";"recommended";"10";"70 – 180";"";"";"1, 4";"";"";"";"";"";"";"";"";"";"";""
"10";"Chlorinated Polyvinyl Chloride (CPVC)";"";"potassium permanganate";"";"7722-64-7";"KMnO4";"oxidizing agents";"2";"questionable; recommended WITH CAUTION, avoid high stress applications";"10";"180 – 212";"";"";"1, 4";"";"";"";"";"";"";"";"";"";"";""
