sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Crude oil";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"crude oil";"petroleum product";"petroleum products";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"crude oil";"petroleum product";"petroleum products";"1";"recommended";"100";"60 – 70";"";"with or without hydrogen sulfide";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"crude oil";"petroleum product";"petroleum products";"2";"questionable";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Cellulose Acetate";"";"crude oil";"petroleum product";"petroleum products";"1";"recommended; discolored; with hydrogen sulfide";"100";"60 – 70";">12";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Cellulose Acetate Butyrate";"";"crude oil";"petroleum product";"petroleum products";"3";"not recommended; weight gain";"100";"60 – 70";"<12";"with hydrogen sulfide";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Chlorinated Polyvinyl Chloride (CPVC)";"";"crude oil";"petroleum product";"petroleum products";"1";"recommended";"100";"70 – 212";"";"with or without hydrogen sulfide";"1, 20";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Chlorosulfonated Polyethylene";"";"crude oil";"petroleum product";"petroleum products";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"";"crude oil";"petroleum product";"petroleum products";"1";"recommended; over 3 years";">10";"50 – 250";">12";"with or without hydrogen sulfide";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Epoxy Resin, Glass Fiber- Reinforced";"";"crude oil";"petroleum product";"petroleum products";"1";"recommended";"100";"70 – 250";"";"with or without hydrogen sulfide";"1, 24";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"crude oil";"petroleum product";"petroleum products";"1";"recommended";"100";"70 – 150";"";"cyclic immersion; immersed";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Fluororubber";"";"crude oil";"petroleum product";"petroleum products";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"crude oil";"petroleum product";"petroleum products";"1";"recommended";"100";"70 – 200";"";"with or without hydrogen sulfide";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Glassed Steel";"";"crude oil";"petroleum product";"petroleum products";"1";"recommended";">10";"50 – 300";"";"brief exposure";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Polychloroprene";"";"crude oil";"petroleum product";"petroleum products";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Polyesters, Glass Fiber-Reinforced";"";"crude oil";"petroleum product";"petroleum products";"1";"recommended";"100";"70 – 212";"";"with hydrogen sulfide";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Polyethylene (PE)";"";"crude oil";"petroleum product";"petroleum products";"3";"not recommended; may stress crack; with hydrogen sulfide; moderate plasticizer";"100";"70 – 150";"";"";"1, 8";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Polyphenylene Sulfide (40% Glass-Filled)";"Fortron PPS";"crude oil";"petroleum product";"petroleum products";"1";"recommended";"100";"0 – 200";"<1";"";"11";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Polyphenylene Sulfide, Glass Fiber-Reinforced";"Ryton PPS R-4";"crude oil";"petroleum product";"petroleum products";"1";"recommended";"100";"200";"<12";"";"18";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Polyvinyl Chloride (PVC)";"";"crude oil";"petroleum product";"petroleum products";"1";"recommended";"100";"70 – 150";"";"with or without hydrogen sulfide";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Polyvinylidene Chloride (PVDC)";"Saran brand resin";"crude oil";"petroleum product";"petroleum products";"1";"recommended";"100";"150";"";"";"6";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Polyvinylidene Fluoride (PVDF)";"Kynar";"crude oil";"petroleum product";"petroleum products";"1";"recommended";"100";"70 – 285";"";"with or without hydrogen sulfide";"1, 17";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Rubber, Butyl (BR)";"";"crude oil";"petroleum product";"petroleum products";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Rubber, Natural (NR)";"";"crude oil";"petroleum product";"petroleum products";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Vinyl Ester Resins";"";"crude oil";"petroleum product";"petroleum products";"1";"recommended";"100";"70 – 250";"";"with hydrogen sulfide";"7";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
