sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Aspirin";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Epoxy Resin, Glass Fiber- Reinforced";"aspirin";"acetylsalicylic acid; 2-(Acetyloxy)benzoic acid";"saturated";"pharmaceuticals";"1";"recommended";"100";"70 – 212";"";"1, 19";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"aspirin";"acetylsalicylic acid; 2-(Acetyloxy)benzoic acid";"";"pharmaceuticals";"1";"recommended";"100";"70 – 250";">12";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Glass, Chemical";"aspirin";"acetylsalicylic acid; 2-(Acetyloxy)benzoic acid";"";"pharmaceuticals";"1";"recommended";"100";"70 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Nylon";"aspirin";"acetylsalicylic acid; 2-(Acetyloxy)benzoic acid";"";"pharmaceuticals";"1";"recommended";"100";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Polyethylene (PE)";"aspirin";"acetylsalicylic acid; 2-(Acetyloxy)benzoic acid";"";"pharmaceuticals";"1";"recommended";"100";"70 – 150";"";"1, 21";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Polymethyl Methacrylate (PMMA)";"aspirin";"acetylsalicylic acid; 2-(Acetyloxy)benzoic acid";"";"pharmaceuticals";"1";"recommended";"100";"70 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Styrene Acrylonitrile Copolymer (SAN)";"aspirin";"acetylsalicylic acid; 2-(Acetyloxy)benzoic acid";"crystal, powders, solids";"pharmaceuticals";"1";"recommended";"100";"70 – 100";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Wood";"aspirin";"acetylsalicylic acid; 2-(Acetyloxy)benzoic acid";"";"pharmaceuticals";"1";"recommended";"100";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
