sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Black liquor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"black liquor";"paper industry";"pulping liquors";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"black liquor";"paper industry";"pulping liquors";"2";"questionable";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"black liquor";"paper industry";"pulping liquors";"1";"recommended";"100";"240 – 300";"<6";"recovery furnace gases";"16";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Chlorinated Polyvinyl Chloride (CPVC)";"";"black liquor";"paper industry";"pulping liquors";"1";"recommended";"100";"70 – 212";"";"";"1, 20";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"";"black liquor";"paper industry";"pulping liquors";"1";"recommended; over 3 years";">10";"50 – 200";">12";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"";"black liquor";"paper industry";"pulping liquors";"2";"questionable";">10";"200 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Epoxy Resin, Glass Fiber- Reinforced";"";"black liquor";"paper industry";"pulping liquors";"1";"recommended";"100";"70 – 250";"";"";"1, 24";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"black liquor";"paper industry";"pulping liquors";"1";"recommended";"100";"70 – 90";"";"cyclic immersion; immersed";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"black liquor";"paper industry";"pulping liquors";"1";"recommended";"100";"70 – 200";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Polyesters, Glass Fiber-Reinforced";"";"black liquor";"paper industry";"pulping liquors";"1";"recommended; sulfidity may affect rate; gas ";"10 – 60";"50 – 212";"";"concentration is % solids";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Polyethylene (PE)";"";"black liquor";"paper industry";"pulping liquors";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Polyvinyl Chloride (PVC)";"";"black liquor";"paper industry";"pulping liquors";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Polyvinylidene Chloride (PVDC)";"Saran brand resin";"black liquor";"paper industry";"pulping liquors";"1";"recommended";"100";"150";"";"";"6";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Polyvinylidene Fluoride (PVDF)";"Kynar";"black liquor";"paper industry";"pulping liquors";"1";"recommended";"100";"70 – 175";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Polyvinylidene Fluoride (PVDF)";"";"black liquor";"paper industry";"pulping liquors";"2";"questionable";"100";"175 – 275";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Vinyl Ester Resins";"";"black liquor";"paper industry";"pulping liquors";"1";"recommended; gas ";"10 – 60";"50 – 212";"";"";"7";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
