sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Dimethyl sulfoxide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"reference";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"dimethyl sulfoxide";"dmso";"67-68-5";"C2H6OS";"solvents";"3";"not recommended";"100";"75";"<6";"16";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"Teflon; Hostaflon; Fluon";"dimethyl sulfoxide";"dmso";"67-68-5";"C2H6OS";"solvents";"1";"recommended";">40";"150 – 200";"";"1, 10, 22";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"";"dimethyl sulfoxide";"dmso";"67-68-5";"C2H6OS";"solvents";"1";"recommended; weight gain, strength loss, steady state reached in one week exposure";"100";"70 – 150";"<1";"1, 10, 22";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"dimethyl sulfoxide";"dmso";"67-68-5";"C2H6OS";"solvents";"1";"recommended; discolored, ";"100";"70 – 374";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Perfluoroalkoxy Resins";"";"dimethyl sulfoxide";"dmso";"67-68-5";"C2H6OS";"solvents";"1";"recommended; weight gain; strength loss; steady state reached in one week exposure";"100";"70 – 374";"<1";"1";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Polyesters, Glass Fiber-Reinforced";"";"dimethyl sulfoxide";"dmso";"67-68-5";"C2H6OS";"solvents";"3";"not recommended";"100";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
