sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Trichloroethylene";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"trichloroethylene";"trichloroethene";"";"1979-01-06";"C2HCl3";"solvents";"2";"questionable";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"trichloroethylene";"trichloroethene";"";"1979-01-06";"C2HCl3";"solvents";"3";"not recommended";"100";"60 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"3";"Carbon-Graphite Composites";"";"trichloroethylene";"trichloroethene";"";"1979-01-06";"C2HCl3";"solvents";"1";"recommended";"100";"70 – 200";"";"";"1";"";"";"";"";"";"";"";"";"";""
"4";"Cellulose Acetate Butyrate";"";"trichloroethylene";"trichloroethene";"";"1979-01-06";"C2HCl3";"solvents";"3";"not recommended; swollen";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";""
"5";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"trichloroethylene";"trichloroethene";"";"1979-01-06";"C2HCl3";"solvents";"3";"not recommended";"100";"150";"<6";"";"16";"";"";"";"";"";"";"";"";"";""
"6";"Chlorinated Polyvinyl Chloride (CPVC)";"";"trichloroethylene";"trichloroethene";"";"1979-01-06";"C2HCl3";"solvents";"3";"not recommended";"100";"70 – 212";"<6";"";"1, 20";"";"";"";"";"";"";"";"";"";""
"7";"Chlorosulfonated Polyethylene";"";"trichloroethylene";"trichloroethene";"";"1979-01-06";"C2HCl3";"solvents";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"8";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"";"trichloroethylene";"trichloroethene";"";"1979-01-06";"C2HCl3";"solvents";"1";"recommended";">10";"75 – 90";">12";"";"1";"";"";"";"";"";"";"";"";"";""
"9";"Epoxy Resin, Glass Fiber- Reinforced";"";"trichloroethylene";"trichloroethene";"";"1979-01-06";"C2HCl3";"solvents";"1";"recommended";"100";"70 – 120";"";"";"1, 19";"";"";"";"";"";"";"";"";"";""
"10";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"trichloroethylene";"trichloroethene";"";"1979-01-06";"C2HCl3";"solvents";"1";"recommended";"100";"60 – 70";"<1";"";"1, 22";"";"";"";"";"";"";"";"";"";""
