sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ammonium sulfate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"ammonium sulfate";"";"7783-20-2";"H8N2O4S";"salts";"1";"recommended";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Acetal Resins (Polyoxymethylene)";"";"ammonium sulfate";"";"7783-20-2";"H8N2O4S";"salts";"2";"questionable";">10";"150 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Acetal Resins (Polyoxymethylene)";"";"ammonium sulfate";"";"7783-20-2";"H8N2O4S";"salts";"3";"not recommended";">10";"175 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"4";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"ammonium sulfate";"";"7783-20-2";"H8N2O4S";"salts";"1";"recommended";"10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"5";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"ammonium sulfate";"saturated";"7783-20-2";"H8N2O4S";"salts";"1";"recommended";"100";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"6";"Carbon-Graphite Composites";"";"ammonium sulfate";"";"7783-20-2";"H8N2O4S";"salts";"1";"recommended";"10 – 90";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"7";"Cellulose Acetate";"";"ammonium sulfate";"";"7783-20-2";"H8N2O4S";"salts";"1";"recommended";"10";"60 – 70";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"8";"Cellulose Acetate";"";"ammonium sulfate";"";"7783-20-2";"H8N2O4S";"salts";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"9";"Cellulose Acetate Butyrate";"";"ammonium sulfate";"";"7783-20-2";"H8N2O4S";"salts";"3";"not recommended; weight gain";"10";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"10";"Cellulose Acetate Butyrate";"";"ammonium sulfate";"";"7783-20-2";"H8N2O4S";"salts";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"11";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"ammonium sulfate";"";"7783-20-2";"H8N2O4S";"salts";"1";"recommended";"25";"200";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"12";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"";"ammonium sulfate";"";"7783-20-2";"H8N2O4S";"salts";"1";"recommended";"60";"250";"";"";"16";"";"";"";"";"";"";"";"";"";"";""
"13";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"";"ammonium sulfate";"";"7783-20-2";"H8N2O4S";"salts";"1";"recommended";"100";"75";"";"";"16";"";"";"";"";"";"";"";"";"";"";""
"14";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"ammonium sulfate";"";"7783-20-2";"H8N2O4S";"salts";"1";"recommended";"25";"200";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"15";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"";"ammonium sulfate";"";"7783-20-2";"H8N2O4S";"salts";"1";"recommended";"100";"75";"";"";"16";"";"";"";"";"";"";"";"";"";"";""
"16";"Chlorinated Polyvinyl Chloride (CPVC)";"";"ammonium sulfate";"";"7783-20-2";"H8N2O4S";"salts";"1";"recommended";"100";"70 – 212";"";"";"1, 20";"";"";"";"";"";"";"";"";"";"";""
"17";"Chlorosulfonated Polyethylene";"";"ammonium sulfate";"saturated";"7783-20-2";"H8N2O4S";"salts";"1";"recommended";">10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"18";"Concrete";"";"ammonium sulfate";"";"7783-20-2";"H8N2O4S";"salts";"3";"not recommended";">10";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"19";"Epoxy Cements";"";"ammonium sulfate";"";"7783-20-2";"H8N2O4S";"salts";"1";"recommended";"50";"68";"<6";"";"5";"";"";"";"";"";"";"";"";"";"";""
"20";"Epoxy Cements";"";"ammonium sulfate";"";"7783-20-2";"H8N2O4S";"salts";"1";"recommended";"50";"140";"";"";"5";"";"";"";"";"";"";"";"";"";"";""
"21";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"";"ammonium sulfate";"";"7783-20-2";"H8N2O4S";"salts";"1";"recommended; questionable >130°C (266°F) all concentrations";">10";"50 – 275";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"22";"Epoxy Resin, Glass Fiber- Reinforced";"";"ammonium sulfate";"";"7783-20-2";"H8N2O4S";"salts";"1";"recommended";"20";"70 – 250";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"23";"Epoxy Resin, Glass Fiber- Reinforced";"";"ammonium sulfate";"";"7783-20-2";"H8N2O4S";"salts";"1";"recommended";"40";"70 – 200";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"24";"Epoxy Resin, Glass Fiber- Reinforced";"";"ammonium sulfate";"saturated";"7783-20-2";"H8N2O4S";"salts";"1";"recommended";"100";"70 – 250";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"25";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"ammonium sulfate";"";"7783-20-2";"H8N2O4S";"salts";"1";"recommended";"100";"70 – 150";"";"cyclic immersion; immersed";"1";"";"";"";"";"";"";"";"";"";"";""
"26";"Fluororubber";"";"ammonium sulfate";"saturated";"7783-20-2";"H8N2O4S";"salts";"1";"recommended";">10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
