sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Calcium sulfate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"calcium sulfate";"";"7778-18-9";"CaO4S";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Cellulose Acetate";"";"calcium sulfate";"";"7778-18-9";"CaO4S";"salts";"1";"recommended";"100";"60 – 70";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Cellulose Acetate Butyrate";"";"calcium sulfate";"";"7778-18-9";"CaO4S";"salts";"1";"recommended";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"4";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"calcium sulfate";"";"7778-18-9";"CaO4S";"salts";"1";"recommended";"5";"200";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"5";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"";"calcium sulfate";"";"7778-18-9";"CaO4S";"salts";"1";"recommended";"100";"250";"";"";"16";"";"";"";"";"";"";"";"";"";"";""
"6";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"calcium sulfate";"";"7778-18-9";"CaO4S";"salts";"1";"recommended";"5";"200";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"7";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"";"calcium sulfate";"";"7778-18-9";"CaO4S";"salts";"1";"recommended";"100";"250";"";"";"16";"";"";"";"";"";"";"";"";"";"";""
"8";"Chlorinated Polyvinyl Chloride (CPVC)";"";"calcium sulfate";"";"7778-18-9";"CaO4S";"salts";"1";"recommended";"100";"70 – 212";"";"";"1, 20";"";"";"";"";"";"";"";"";"";"";""
"9";"Concrete";"";"calcium sulfate";"";"7778-18-9";"CaO4S";"salts";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"10";"Epoxy Cements";"";"calcium sulfate";"";"7778-18-9";"CaO4S";"salts";"1";"recommended";"50";"68";"<6";"";"5";"";"";"";"";"";"";"";"";"";"";""
"11";"Epoxy Cements";"";"calcium sulfate";"";"7778-18-9";"CaO4S";"salts";"1";"recommended";"50";"140";"";"";"5";"";"";"";"";"";"";"";"";"";"";""
"12";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"";"calcium sulfate";"";"7778-18-9";"CaO4S";"salts";"1";"recommended; over 3 years";">10";"75 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"13";"Epoxy Resin, Glass Fiber- Reinforced";"";"calcium sulfate";"";"7778-18-9";"CaO4S";"salts";"1";"recommended";">10";"70 – 250";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"14";"Epoxy Resin, Glass Fiber- Reinforced";"";"calcium sulfate";"saturated";"7778-18-9";"CaO4S";"salts";"1";"recommended";"100";"70 – 250";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"15";"Fluororubber";"";"calcium sulfate";"";"7778-18-9";"CaO4S";"salts";"1";"recommended";"10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"16";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"calcium sulfate";"";"7778-18-9";"CaO4S";"salts";"1";"recommended";"10";"70 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"17";"Glass, Chemical";"";"calcium sulfate";"";"7778-18-9";"CaO4S";"salts";"1";"recommended";"10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"18";"Polyesters, Glass Fiber-Reinforced";"";"calcium sulfate";"";"7778-18-9";"CaO4S";"salts";"1";"recommended";"10";"70 – 250";"";"slurry";"1";"";"";"";"";"";"";"";"";"";"";""
"19";"Polyesters, Glass Fiber-Reinforced";"";"calcium sulfate";"";"7778-18-9";"CaO4S";"salts";"1";"recommended";"100";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"20";"Polyethylene (PE)";"";"calcium sulfate";"";"7778-18-9";"CaO4S";"salts";"1";"recommended";"100";"70 – 150";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";""
"21";"Polymethyl Methacrylate (PMMA)";"";"calcium sulfate";"";"7778-18-9";"CaO4S";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"22";"Polyphenylene Sulfide (40% Glass-Filled)";"Fortron PPS";"calcium sulfate";"";"7778-18-9";"CaO4S";"salts";"1";"recommended";"100";"0 – 200";"<1";"";"11";"";"";"";"";"";"";"";"";"";"";""
"23";"Polypropylene (PP)";"";"calcium sulfate";"";"7778-18-9";"CaO4S";"salts";"1";"recommended";"100";"60 – 212";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";""
"24";"Polyvinyl Chloride (PVC)";"";"calcium sulfate";"";"7778-18-9";"CaO4S";"salts";"1";"recommended";"100";"70 – 275";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"25";"Vinyl Ester Resins";"";"calcium sulfate";"";"7778-18-9";"CaO4S";"salts";"1";"recommended";">10";"70 – 250";"";"";"7";"";"";"";"";"";"";"";"";"";"";""
"26";"Wood";"";"calcium sulfate";"";"7778-18-9";"CaO4S";"salts";"1";"recommended";">10";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
