sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Copper sulfate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"copper sulfate";"chalcocyanite";"";"7758-98-7";"CuO4S";"salts";"1";"recommended";"10 – 70";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"2";"Acetal Resins (Polyoxymethylene)";"";"copper sulfate";"chalcocyanite";"";"7758-98-7";"CuO4S";"salts";"2";"questionable";"10 – 70";"150 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";""
"3";"Acetal Resins (Polyoxymethylene)";"";"copper sulfate";"chalcocyanite";"";"7758-98-7";"CuO4S";"salts";"3";"not recommended";"10 – 70";"175 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"4";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"copper sulfate";"chalcocyanite";"";"7758-98-7";"CuO4S";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"5";"Carbon-Graphite Composites";"";"copper sulfate";"chalcocyanite";"";"7758-98-7";"CuO4S";"salts";"1";"recommended";"10 – 70";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"6";"Cellulose Acetate";"";"copper sulfate";"chalcocyanite";"";"7758-98-7";"CuO4S";"salts";"3";"not recommended; weight gain";"10";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";""
"7";"Cellulose Acetate";"";"copper sulfate";"chalcocyanite";"";"7758-98-7";"CuO4S";"salts";"3";"not recommended";"40";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"8";"Cellulose Acetate Butyrate";"";"copper sulfate";"chalcocyanite";"";"7758-98-7";"CuO4S";"salts";"3";"not recommended";"10";"60 – 70";"<1";"saturated; weight gain";"1";"";"";"";"";"";"";"";"";"";""
"9";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"copper sulfate";"chalcocyanite";"";"7758-98-7";"CuO4S";"salts";"1";"recommended";"any";"250";"<6";"";"16";"";"";"";"";"";"";"";"";"";""
"10";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"copper sulfate";"chalcocyanite";"";"7758-98-7";"CuO4S";"salts";"1";"recommended";"any";"250";"<6";"";"16";"";"";"";"";"";"";"";"";"";""
