sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Sodium sulfite";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"sodium sulfite";"";"7757-83-7";"Na2O3S";"salts";"1";"recommended";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Acetal Resins (Polyoxymethylene)";"";"sodium sulfite";"";"7757-83-7";"Na2O3S";"salts";"2";"questionable";">10";"150 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Acetal Resins (Polyoxymethylene)";"";"sodium sulfite";"";"7757-83-7";"Na2O3S";"salts";"3";"not recommended";">10";"175 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"4";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"sodium sulfite";"";"7757-83-7";"Na2O3S";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"5";"Cellulose Acetate";"";"sodium sulfite";"";"7757-83-7";"Na2O3S";"salts";"3";"not recommended; weight gain";"20";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"6";"Cellulose Acetate Butyrate";"";"sodium sulfite";"";"7757-83-7";"Na2O3S";"salts";"3";"not recommended; weight gain";"20";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"7";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"sodium sulfite";"";"7757-83-7";"Na2O3S";"salts";"1";"recommended";"any";"250";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"8";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"sodium sulfite";"";"7757-83-7";"Na2O3S";"salts";"1";"recommended";"any";"250";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"9";"Chlorinated Polyvinyl Chloride (CPVC)";"";"sodium sulfite";"";"7757-83-7";"Na2O3S";"salts";"1";"recommended";"100";"70 – 212";"";"";"1, 20";"";"";"";"";"";"";"";"";"";"";""
"10";"Chlorosulfonated Polyethylene";"";"sodium sulfite";"saturated";"7757-83-7";"Na2O3S";"salts";"1";"recommended";">10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"11";"Concrete";"";"sodium sulfite";"";"7757-83-7";"Na2O3S";"salts";"3";"not recommended";"10 – 90";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"12";"Epoxy Cements";"";"sodium sulfite";"";"7757-83-7";"Na2O3S";"salts";"1";"recommended";"20";"68";"<6";"";"5";"";"";"";"";"";"";"";"";"";"";""
"13";"Epoxy Cements";"";"sodium sulfite";"";"7757-83-7";"Na2O3S";"salts";"1";"recommended";"20";"140";"";"";"5";"";"";"";"";"";"";"";"";"";"";""
"14";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"";"sodium sulfite";"";"7757-83-7";"Na2O3S";"salts";"1";"recommended; over 3 years";">10";"50 – 200";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"15";"Epoxy Resin, Glass Fiber- Reinforced";"";"sodium sulfite";"";"7757-83-7";"Na2O3S";"salts";"1";"recommended";"10 – 25";"70 – 212";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"16";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"sodium sulfite";"";"7757-83-7";"Na2O3S";"salts";"1";"recommended";"100";"70 – 150";"";"immersed; intermittent exposure";"1";"";"";"";"";"";"";"";"";"";"";""
"17";"Fluororubber";"";"sodium sulfite";"saturated";"7757-83-7";"Na2O3S";"salts";"1";"recommended";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"18";"Fluororubber";"";"sodium sulfite";"";"7757-83-7";"Na2O3S";"salts";"1";"recommended";">10";"110 – 125";"";"bi and hypo";"1";"";"";"";"";"";"";"";"";"";"";""
"19";"Fluororubber";"";"sodium sulfite";"";"7757-83-7";"Na2O3S";"salts";"2";"questionable";">10";"150 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"20";"Fluororubber";"";"sodium sulfite";"";"7757-83-7";"Na2O3S";"salts";"2";"questionable";">10";"175 – 190";"";"hypo only";"1";"";"";"";"";"";"";"";"";"";"";""
