sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Soaps";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"soaps";"surfactants & detergents";"1";"recommended";"50";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"soaps";"surfactants & detergents";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Cellulose Acetate";"";"soaps";"surfactants & detergents";"1";"recommended";"100";"175 – 200";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Cellulose Acetate Butyrate";"";"soaps";"surfactants & detergents";"1";"recommended";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"soaps";"surfactants & detergents";"1";"recommended";"2";"70";"<6";"solution";"16";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Chlorinated Polyvinyl Chloride (CPVC)";"";"soaps";"surfactants & detergents";"1";"recommended";"100";"70 – 212";"";"";"1, 20";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Chlorosulfonated Polyethylene";"";"soaps";"surfactants & detergents";"1";"recommended";"50";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Concrete";"";"soaps";"surfactants & detergents";"1";"recommended";">10";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Epoxy Resin, Glass Fiber- Reinforced";"";"soaps";"surfactants & detergents";"1";"recommended";">10";"70 – 212";"";"";"1, 24";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Fluororubber";"";"soaps";"surfactants & detergents";"1";"recommended";"10 – 50";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Glass, Chemical";"";"soaps";"surfactants & detergents";"1";"recommended";"10 – 90";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Nylon";"";"soaps";"surfactants & detergents";"1";"recommended";"10";"60 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Nylon";"";"soaps";"surfactants & detergents";"1";"recommended";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Nylon";"";"soaps";"surfactants & detergents";"1";"recommended";"100";"60 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Polychloroprene";"";"soaps";"surfactants & detergents";"1";"recommended";"50";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Polyethylene (PE)";"";"soaps";"surfactants & detergents";"1";"recommended; may stress crack";"10";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Polyethylene (PE)";"";"soaps";"surfactants & detergents";"1";"recommended";"10 – 90";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Polyethylene (PE)";"";"soaps";"surfactants & detergents";"3";"not recommended";"10 – 90";"125 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Polymethyl Methacrylate (PMMA)";"";"soaps";"surfactants & detergents";"1";"recommended";">10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Polypropylene (PP)";"";"soaps";"surfactants & detergents";"1";"recommended";"5";"70 – 150";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Polypropylene (PP)";"";"soaps";"surfactants & detergents";"1";"recommended";"90";"60 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Polyvinyl Chloride (PVC)";"";"soaps";"surfactants & detergents";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Rubber, Butyl (BR)";"";"soaps";"surfactants & detergents";"1";"recommended";"50";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Rubber, Natural (NR)";"";"soaps";"surfactants & detergents";"1";"recommended";"60";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Styrene Acrylonitrile Copolymer (SAN)";"";"soaps";"surfactants & detergents";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Wood";"";"soaps";"surfactants & detergents";"1";"recommended";">10";"70 – 212";"";"slight attack in time";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
