sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Sewage";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"sewage";"sewage water";"water & wastewater";"2";"questionable; softened; absorbed odors; warped";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"sewage";"treatment";"water & wastewater";"1";"recommended";"any";"0 – 250";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"sewage";"treatment";"water & wastewater";"1";"recommended";"any";"0 – 250";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Chlorinated Polyvinyl Chloride (CPVC)";"";"sewage";"sewage water";"water & wastewater";"1";"recommended";"100";"70 – 212";"";"";"1, 2";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Chlorosulfonated Polyethylene";"";"sewage";"sewage water";"water & wastewater";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Concrete";"";"sewage";"sewage water";"water & wastewater";"3";"not recommended";"100";"60 – 70";"<6";"immersed; air entrained; domestic and industrial";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"Teflon; Hostaflon; Fluon";"sewage";"raw sewage";"water & wastewater";"1";"recommended";"100";"100";">12";"";"10";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"sewage";"sewage water";"water & wastewater";"1";"recommended";"100";"60 – 70";"";"domestic and industrial";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"sewage";"sewage water";"water & wastewater";"1";"recommended";"100";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Polychloroprene";"";"sewage";"sewage water";"water & wastewater";"3";"not recommended; softened; swollen; weight gain; absorbed odors; domestic and industrial";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Polyesters, Glass Fiber-Reinforced";"";"sewage";"sewage water";"water & wastewater";"1";"recommended";"100";"70 – 100";"";"water, HCl and chlorine";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Polyesters, Glass Fiber-Reinforced";"";"sewage";"sewage water, vapor";"water & wastewater";"1";"recommended";"100";"100 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Polyethylene (PE)";"";"sewage";"sewage water";"water & wastewater";"2";"questionable; discolored, softened, weight gain, absorbed odors, domestic and industrial";"100";"60 – 70";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Polyethylene (PE)";"";"sewage";"sewage water";"water & wastewater";"1";"recommended";"100";"70 – 125";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Polyvinyl Chloride (PVC)";"";"sewage";"sewage water";"water & wastewater";"2";"questionable; softened, absorbed odors, warped, domestic and industrial";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Polyvinyl Chloride (PVC)";"";"sewage";"sewage water";"water & wastewater";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Rubber, Natural (NR)";"";"sewage";"sewage water";"water & wastewater";"3";"not recommended; softened; swollen; weight gain; absorbed odors; domestic and industrial";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Vinyl Ester Resins";"";"sewage";"sewage water";"water & wastewater";"1";"recommended";"100";"70 – 175";"";"";"7";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Wood";"";"sewage";"sewage water";"water & wastewater";"2";"questionable; discolored; softened; domestic and industrial; pine treated with phenols or furans; absorbs materials";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
